ortholog	carb	flav	macro
o91	TR48727-c0_g1_i1	TR27828-c0_g2_i1	TR37576-c0_g6_i1
o92	TR29790-c0_g1_i1	TR18268-c0_g2_i1	TR38113-c5_g1_i1
o93	TR55645-c7_g2_i2	TR42256-c0_g4_i2	Matched_to_other_by_FastOrtho
o94	TR29223-c0_g1_i1	TR30769-c0_g2_i2	TR37663-c7_g2_i1
o95	TR60194-c1_g3_i1	TR28942-c4_g1_i2	TR37647-c2_g3_i1
o96	TR38935-c0_g1_i1	TR40664-c0_g1_i1	Matched_to_other_by_FastOrtho
o97	TR28930-c1_g3_i1	TR9959-c0_g2_i1	TR8562-c0_g7_i1
o98	TR53923-c0_g2_i1	TR4649-c1_g1_i1	TR8538-c0_g1_i1
o99	TR29127-c0_g7_i2	TR50639-c0_g1_i1	TR47041-c0_g8_i2
o100	TR15561-c0_g2_i2	TR45498-c0_g1_i1	TR8533-c0_g1_i1
o101	TR8769-c0_g1_i2	TR6598-c0_g6_i3	TR40706-c3_g13_i1
o102	TR28028-c0_g1_i1	TR40792-c0_g2_i1	TR28078-c0_g1_i1
o103	TR39347-c0_g1_i1	TR7079-c0_g2_i1	TR8523-c0_g1_i1
o104	TR29613-c1_g2_i2	Matched_to_other_by_FastOrtho	TR10923-c0_g1_i3
o105	TR53847-c3_g2_i5	TR47635-c0_g1_i2	TR10905-c1_g3_i1
o106	TR60883-c0_g1_i1	TR23802-c0_g1_i1	TR10897-c0_g1_i1
o107	TR29573-c1_g5_i4	TR38687-c1_g1_i1	TR10889-c0_g1_i2
o108	TR44167-c1_g1_i1	TR17723-c0_g1_i1	Matched_to_other_by_FastOrtho
o109	TR49939-c0_g1_i1	TR6458-c1_g1_i1	TR10869-c0_g1_i1
o110	TR23010-c0_g1_i1	TR20745-c0_g1_i1	TR1086-c0_g1_i1
o111	TR34566-c1_g2_i1	TR29356-c0_g1_i1	TR10857-c0_g1_i1
o112	TR4644-c0_g1_i1	TR4862-c0_g1_i2	Matched_to_other_by_FastOrtho
o113	TR34078-c0_g1_i1	TR11227-c0_g1_i1	TR37882-c0_g1_i1
o114	TR38089-c0_g8_i1	TR33859-c0_g2_i1	TR33016-c1_g3_i1
o115	TR34516-c4_g3_i2	TR51242-c1_g3_i1	Matched_to_other_by_FastOrtho
o116	TR47067-c0_g1_i1	TR39044-c0_g1_i1	TR8579-c0_g1_i1
o117	TR3743-c0_g2_i1	TR29872-c0_g1_i1	TR32992-c0_g1_i1
o118	TR58460-c0_g5_i1	Matched_to_other_by_FastOrtho	TR32973-c0_g2_i1
o119	TR12785-c0_g1_i1	TR37131-c0_g8_i1	TR32971-c0_g3_i2
o120	TR27355-c0_g3_i3	Matched_to_other_by_FastOrtho	TR33010-c0_g2_i2
o121	TR56389-c0_g1_i1	TR49447-c0_g1_i1	TR33006-c0_g1_i1
o122	TR43379-c0_g2_i1	TR41424-c0_g1_i1	Matched_to_other_by_FastOrtho
o123	TR14533-c0_g1_i1	TR29763-c1_g2_i1	TR28102-c0_g1_i2
o124	TR36905-c2_g2_i4	TR13749-c0_g2_i2	TR31523-c0_g1_i4
o125	TR49205-c0_g1_i1	TR4581-c0_g1_i1	TR31521-c0_g2_i1
o126	TR46407-c0_g2_i1	TR26355-c0_g2_i1	Matched_to_other_by_FastOrtho
o127	TR4770-c1_g2_i1	TR36533-c0_g1_i1	TR31471-c0_g1_i2
o128	TR45381-c1_g1_i1	TR12173-c3_g1_i1	TR31586-c2_g1_i1
o129	TR47769-c0_g2_i1	TR2400-c0_g1_i2	TR28136-c0_g1_i1
o130	TR27177-c0_g3_i1	TR13140-c0_g3_i1	Matched_to_other_by_FastOrtho
o131	TR40011-c0_g5_i1	TR14479-c1_g2_i1	TR31538-c0_g1_i1
o132	TR17507-c5_g9_i3	TR40026-c0_g2_i2	TR37860-c0_g1_i1
o133	TR49000-c0_g4_i1	TR35171-c0_g1_i1	Matched_to_other_by_FastOrtho
o134	TR53951-c0_g1_i1	TR9375-c2_g2_i1	TR2998-c0_g1_i1
o135	TR54904-c0_g1_i2	TR49337-c0_g2_i1	TR34837-c0_g3_i1
o136	TR39368-c1_g1_i2	TR28638-c2_g1_i1	TR34835-c0_g1_i1
o137	TR21995-c0_g2_i1	TR31225-c1_g5_i1	TR34820-c1_g2_i1
o138	TR8425-c0_g1_i2	TR18434-c0_g1_i1	TR3482-c2_g1_i1
o139	TR26238-c0_g1_i1	TR50095-c0_g1_i1	TR3494-c1_g1_i1
o140	TR41620-c0_g12_i1	TR43090-c0_g3_i2	TR34923-c1_g1_i1
o141	TR32353-c0_g1_i1	TR19994-c0_g7_i1	TR34896-c0_g1_i3
o142	TR34304-c0_g1_i1	TR29377-c0_g1_i1	TR34846-c0_g1_i1
o143	TR12597-c0_g7_i1	TR47111-c0_g5_i2	TR39168-c0_g3_i1
o144	TR34238-c0_g1_i1	TR23282-c0_g1_i1	Matched_to_other_by_FastOrtho
o145	TR5704-c0_g2_i1	TR7382-c0_g1_i1	TR34946-c0_g1_i1
o146	TR54909-c3_g5_i1	TR30322-c0_g2_i1	TR34945-c3_g11_i1
o147	TR20178-c1_g3_i1	TR3738-c0_g3_i1	TR3913-c2_g4_i2
o148	TR50408-c0_g1_i1	TR13594-c1_g1_i1	TR39125-c1_g1_i1
o149	TR19770-c2_g6_i1	TR51120-c1_g3_i1	TR39154-c3_g1_i1
o150	TR13319-c14_g3_i1	Matched_to_other_by_FastOrtho	TR39253-c1_g2_i2
o151	TR19569-c0_g9_i2	TR32963-c0_g1_i2	TR47356-c0_g3_i3
o152	TR6544-c0_g1_i1	TR24539-c0_g1_i1	TR47276-c0_g1_i1
o153	TR17367-c2_g3_i1	TR40483-c0_g5_i1	TR47298-c3_g1_i1
o154	TR8465-c2_g2_i1	TR49195-c0_g2_i1	TR47302-c2_g1_i1
o155	TR56834-c1_g1_i1	TR28365-c0_g1_i2	TR47309-c0_g1_i3
o156	TR24179-c1_g2_i1	TR50382-c0_g2_i1	TR47313-c0_g1_i1
o157	TR25226-c0_g2_i1	TR38314-c0_g1_i5	TR47321-c0_g3_i2
o158	TR25226-c0_g6_i1	TR38314-c0_g1_i4	TR47321-c0_g3_i3
o159	TR12338-c0_g4_i2	TR38422-c0_g1_i1	TR4733-c0_g1_i1
o160	TR22664-c0_g3_i3	TR14521-c1_g1_i2	TR29980-c0_g1_i1
o161	TR24958-c0_g1_i1	TR40065-c1_g1_i1	TR13377-c1_g2_i4
o162	TR17230-c0_g1_i1	TR4226-c0_g1_i1	TR29970-c0_g1_i1
o163	TR57242-c0_g1_i1	TR26684-c1_g1_i1	TR29945-c0_g1_i1
o164	TR6959-c0_g1_i1	Matched_to_other_by_FastOrtho	TR29937-c0_g2_i1
o165	TR1685-c0_g2_i3	TR48156-c0_g7_i2	TR29932-c0_g3_i1
o166	TR38745-c1_g2_i1	TR27777-c1_g1_i1	TR13357-c0_g3_i1
o167	TR32509-c0_g2_i1	TR43182-c0_g1_i1	TR35426-c0_g5_i1
o168	TR32509-c0_g1_i1	TR19875-c0_g1_i1	TR35426-c0_g4_i1
o169	TR30790-c1_g1_i1	TR16863-c3_g2_i1	TR39853-c0_g5_i1
o170	TR40294-c0_g4_i1	TR28657-c0_g3_i1	TR39854-c0_g1_i1
o171	TR9479-c0_g2_i1	TR23987-c2_g2_i1	TR39855-c2_g1_i2
o172	TR37746-c0_g1_i1	TR37162-c0_g1_i1	TR29997-c0_g1_i1
o173	TR16202-c0_g1_i1	TR50036-c0_g2_i2	Matched_to_other_by_FastOrtho
o174	TR31780-c0_g1_i1	TR44731-c0_g1_i1	TR47164-c0_g2_i1
o175	TR17541-c1_g2_i1	TR12255-c0_g1_i1	TR47168-c0_g2_i1
o176	TR17942-c0_g2_i1	TR45069-c0_g7_i1	TR47114-c0_g11_i1
o177	TR45790-c1_g4_i1	TR3866-c0_g2_i2	TR13351-c0_g1_i1
o178	TR43550-c2_g1_i2	TR46042-c0_g1_i1	TR47106-c0_g2_i1
o179	TR36323-c2_g1_i1	TR5569-c0_g4_i1	TR47108-c0_g1_i1
o180	TR59388-c0_g1_i1	Matched_to_other_by_FastOrtho	TR47094-c0_g1_i1
o181	TR15977-c0_g5_i2	TR45366-c0_g5_i3	TR47101-c0_g10_i1
o182	TR4891-c1_g2_i1	TR40420-c0_g1_i1	TR13343-c0_g1_i1
o183	TR28850-c0_g1_i1	TR32724-c0_g2_i1	TR5913-c0_g1_i1
o184	TR14290-c0_g1_i1	TR11087-c0_g1_i1	TR5932-c2_g1_i1
o185	TR33374-c0_g1_i4	TR12041-c0_g5_i1	TR47169-c0_g2_i1
o186	TR7408-c0_g1_i1	TR9413-c1_g1_i1	Matched_to_other_by_FastOrtho
o187	TR47815-c1_g2_i1	TR18587-c0_g3_i1	Matched_to_other_by_FastOrtho
o188	TR3578-c0_g1_i1	TR45271-c0_g1_i1	TR13585-c1_g1_i4
o189	TR370-c1_g15_i1	TR46801-c2_g1_i1	Matched_to_other_by_FastOrtho
o190	TR33181-c0_g1_i1	TR7555-c0_g2_i1	TR13587-c0_g1_i1
o191	TR23359-c0_g1_i1	Matched_to_other_by_FastOrtho	TR13602-c0_g1_i1
o192	TR57293-c0_g2_i1	TR47891-c0_g2_i1	TR13615-c0_g1_i1
o193	TR14336-c0_g4_i1	TR18745-c0_g1_i2	Matched_to_other_by_FastOrtho
o194	TR44412-c1_g1_i1	TR1365-c2_g1_i1	Matched_to_other_by_FastOrtho
o195	TR3523-c0_g1_i1	TR41820-c0_g1_i1	TR13621-c0_g1_i1
o196	Matched_to_other_by_FastOrtho	TR30395-c1_g1_i2	TR13294-c0_g2_i1
o197	TR17893-c6_g1_i1	TR160-c0_g2_i1	TR9248-c3_g1_i1
o198	TR16878-c0_g1_i1	TR43571-c1_g3_i1	TR4350-c0_g9_i1
o199	TR12984-c0_g3_i1	TR44970-c0_g3_i1	TR42577-c0_g6_i1
o200	TR12984-c0_g1_i4	TR44970-c1_g4_i4	TR42577-c0_g8_i1
o201	TR42866-c0_g1_i2	TR10806-c0_g1_i1	TR42598-c0_g1_i1
o202	TR8863-c0_g3_i1	TR4513-c2_g3_i1	TR41846-c2_g2_i3
o203	TR31460-c0_g2_i3	TR26484-c0_g4_i1	TR42533-c0_g1_i1
o204	TR22110-c0_g3_i1	TR16875-c0_g2_i1	TR42553-c0_g1_i1
o205	TR31587-c1_g1_i1	TR21569-c2_g1_i1	TR42606-c0_g1_i1
o206	TR29266-c0_g1_i1	TR3708-c0_g1_i2	Matched_to_other_by_FastOrtho
o207	Matched_to_other_by_FastOrtho	TR13125-c0_g3_i1	TR41357-c0_g1_i1
o208	Matched_to_other_by_FastOrtho	TR22585-c0_g2_i1	TR19289-c0_g2_i1
o209	Matched_to_other_by_FastOrtho	TR10186-c0_g1_i1	TR19294-c2_g1_i1
o210	TR11908-c0_g2_i1	TR24153-c0_g2_i1	TR7183-c3_g4_i1
o211	TR34890-c0_g8_i2	TR23919-c0_g2_i1	TR7190-c1_g2_i1
o212	TR59481-c3_g1_i1	Matched_to_other_by_FastOrtho	TR1924-c0_g2_i1
o213	TR61416-c0_g2_i1	TR19283-c0_g2_i1	TR19237-c1_g1_i2
o214	Matched_to_other_by_FastOrtho	TR17013-c0_g6_i1	TR19239-c0_g1_i1
o215	TR51249-c0_g2_i2	TR3398-c0_g1_i1	TR19276-c0_g2_i1
o216	TR55251-c0_g4_i1	TR47757-c1_g5_i4	TR19288-c0_g1_i1
o217	TR61501-c0_g4_i1	Matched_to_other_by_FastOrtho	TR19258-c0_g1_i3
o218	TR41961-c2_g1_i1	TR6037-c0_g2_i3	TR47066-c0_g4_i1
o219	TR25517-c0_g3_i1	TR21131-c0_g1_i1	TR43666-c0_g2_i1
o220	TR44819-c1_g1_i1	TR6399-c0_g2_i2	TR43882-c0_g1_i1
o221	TR1839-c0_g1_i1	Matched_to_other_by_FastOrtho	TR9627-c0_g6_i1
o222	TR14612-c1_g2_i1	TR48056-c0_g2_i1	TR9639-c0_g1_i1
o223	TR56612-c1_g1_i1	TR23857-c0_g1_i2	TR9616-c0_g1_i1
o224	TR1839-c0_g3_i1	TR36413-c0_g1_i1	TR9627-c0_g2_i1
o225	TR12373-c0_g2_i1	TR14637-c0_g3_i3	TR9255-c0_g1_i1
o226	TR53159-c0_g3_i3	TR41973-c1_g2_i1	TR961-c0_g2_i6
o227	TR43304-c0_g1_i1	TR47477-c0_g4_i1	TR960-c0_g6_i1
o228	TR16301-c1_g1_i2	TR36680-c0_g5_i1	Matched_to_other_by_FastOrtho
o229	TR33846-c0_g8_i1	TR15322-c0_g1_i1	TR15647-c0_g3_i1
o230	TR56260-c1_g1_i1	TR17202-c2_g1_i1	TR15669-c0_g2_i1
o231	TR28293-c2_g1_i1	TR10374-c3_g2_i2	TR15621-c2_g4_i1
o232	Matched_to_other_by_FastOrtho	TR10374-c3_g2_i10	TR15621-c2_g5_i1
o233	TR23170-c0_g2_i3	TR34108-c5_g1_i1	TR15605-c8_g2_i2
o234	TR50525-c0_g1_i1	TR47702-c0_g1_i2	Matched_to_other_by_FastOrtho
o235	TR51480-c0_g1_i1	TR24085-c0_g1_i1	TR156-c0_g1_i1
o236	TR7195-c0_g2_i1	TR4622-c0_g3_i1	TR15603-c1_g6_i1
o237	TR32872-c2_g2_i1	TR7163-c0_g1_i2	TR15588-c2_g4_i1
o238	TR12508-c0_g4_i1	TR9167-c0_g1_i2	TR15596-c0_g4_i1
o239	TR19487-c4_g1_i1	TR33572-c0_g1_i1	TR41224-c0_g1_i1
o240	TR40869-c33_g2_i1	TR13650-c0_g1_i1	TR4123-c4_g8_i1
o241	TR32721-c1_g7_i3	TR9006-c1_g3_i2	TR41232-c2_g3_i2
o242	TR54545-c1_g1_i1	TR38730-c0_g1_i1	TR41258-c0_g1_i1
o243	TR41896-c0_g1_i1	TR37386-c0_g3_i1	TR17285-c3_g3_i1
o244	TR19581-c1_g4_i2	TR2759-c2_g1_i1	TR17285-c5_g1_i5
o245	TR13222-c1_g1_i1	TR16737-c0_g3_i1	TR17776-c0_g3_i1
o246	TR56253-c0_g2_i1	TR17667-c0_g1_i1	TR17786-c1_g1_i1
o247	TR12336-c0_g1_i1	TR9722-c0_g1_i1	TR17769-c0_g1_i1
o248	TR13222-c0_g3_i1	TR16737-c0_g4_i1	TR17776-c0_g1_i1
o249	TR29376-c0_g3_i1	TR34691-c0_g1_i2	TR17259-c0_g1_i1
o250	TR1962-c0_g1_i1	TR24844-c0_g2_i1	TR17721-c0_g1_i3
o251	TR28125-c0_g2_i1	TR8849-c0_g2_i1	TR17738-c1_g1_i1
o252	TR7965-c5_g1_i1	TR11087-c3_g1_i1	TR17181-c0_g2_i1
o253	TR50891-c9_g11_i1	TR27029-c2_g1_i1	TR17181-c3_g1_i2
o254	TR61533-c0_g1_i1	TR31319-c0_g2_i1	TR15756-c1_g1_i2
o255	TR58360-c0_g1_i1	TR25249-c0_g1_i1	TR15759-c0_g1_i1
o256	TR61281-c0_g1_i1	TR11246-c1_g1_i1	TR20910-c1_g2_i1
o257	TR55279-c0_g4_i2	TR40219-c0_g1_i1	TR15734-c0_g2_i1
o258	TR18234-c0_g1_i1	TR15029-c0_g1_i1	Matched_to_other_by_FastOrtho
o259	TR28133-c0_g4_i2	TR15029-c1_g2_i1	TR1574-c2_g1_i2
o260	TR26333-c0_g7_i2	TR50990-c0_g1_i1	TR15743-c0_g6_i1
o261	TR58936-c3_g2_i2	TR45401-c0_g4_i2	TR28966-c0_g17_i1
o262	TR9339-c0_g5_i1	TR4365-c0_g1_i2	TR28980-c4_g6_i1
o263	TR37712-c1_g3_i4	TR350-c0_g2_i1	TR2896-c1_g1_i4
o264	TR15102-c1_g4_i3	TR5649-c0_g9_i1	TR28962-c2_g3_i2
o265	TR44245-c0_g5_i1	Matched_to_other_by_FastOrtho	TR20952-c0_g2_i1
o266	TR17092-c1_g2_i1	TR3788-c0_g1_i1	TR20956-c0_g1_i1
o267	TR27943-c0_g1_i1	TR45359-c0_g1_i1	Matched_to_other_by_FastOrtho
o268	TR58578-c1_g1_i1	TR18678-c1_g6_i1	TR2900-c1_g2_i1
o269	TR14749-c2_g2_i1	TR24141-c1_g1_i1	TR9256-c6_g1_i1
o270	TR7044-c0_g1_i1	TR30416-c0_g2_i1	TR46547-c0_g1_i1
o271	TR47354-c1_g3_i1	TR25995-c0_g2_i1	TR41306-c0_g2_i2
o272	TR9723-c0_g18_i1	TR48872-c1_g1_i1	TR34461-c0_g7_i1
o273	TR36740-c1_g2_i2	TR9404-c0_g1_i1	TR8194-c0_g1_i1
o274	TR59486-c0_g1_i1	TR25391-c0_g1_i1	Matched_to_other_by_FastOrtho
o275	TR8564-c1_g1_i4	TR43750-c0_g1_i1	TR11080-c0_g3_i2
o276	TR49322-c1_g6_i1	TR33315-c0_g4_i1	TR1110-c0_g5_i2
o277	TR19348-c0_g2_i2	TR1795-c0_g1_i1	TR9306-c1_g1_i2
o278	TR36767-c0_g4_i2	TR7663-c0_g2_i1	TR46551-c0_g1_i2
o279	TR41796-c0_g1_i1	TR48263-c0_g4_i1	TR10946-c1_g1_i2
o280	TR16237-c0_g1_i1	TR9088-c0_g1_i1	TR10953-c0_g1_i1
o281	TR11998-c0_g14_i1	TR11903-c1_g1_i1	TR10963-c0_g1_i1
o282	TR57224-c0_g2_i1	TR28844-c0_g1_i1	Matched_to_other_by_FastOrtho
o283	TR21658-c0_g1_i1	TR18049-c0_g1_i1	Matched_to_other_by_FastOrtho
o284	TR6028-c0_g1_i1	Matched_to_other_by_FastOrtho	TR11021-c0_g2_i1
o285	TR11848-c0_g5_i2	TR46403-c0_g1_i3	TR11055-c0_g2_i1
o286	TR15684-c1_g1_i1	TR22915-c0_g1_i1	TR11062-c0_g1_i1
o287	TR56894-c1_g2_i1	TR5220-c0_g1_i1	TR2271-c2_g3_i1
o288	TR33906-c0_g1_i1	TR32599-c1_g1_i1	TR22714-c1_g1_i1
o289	TR50275-c0_g2_i1	TR17930-c0_g1_i1	TR22716-c1_g1_i1
o290	TR27361-c1_g2_i1	TR41531-c1_g1_i1	TR22725-c1_g7_i1
o291	TR40444-c2_g1_i1	TR21963-c0_g2_i1	TR22730-c0_g2_i1
o292	TR20151-c0_g1_i2	TR51375-c2_g1_i5	TR22743-c1_g1_i1
o293	TR32338-c0_g2_i2	TR13384-c0_g1_i1	TR22746-c1_g1_i1
o294	TR60800-c0_g5_i2	TR28370-c13_g1_i7	TR22747-c0_g3_i2
o295	TR19310-c0_g1_i4	TR50716-c0_g1_i1	TR22758-c0_g1_i1
o296	TR54425-c1_g1_i1	TR21858-c1_g1_i1	TR40726-c2_g1_i1
o297	TR47403-c4_g1_i1	TR35477-c0_g1_i1	TR28412-c1_g2_i1
o298	TR21406-c0_g2_i1	TR42584-c0_g1_i1	TR28413-c0_g1_i1
o299	TR13872-c1_g2_i2	TR11423-c0_g1_i1	TR36955-c0_g2_i2
o300	TR59104-c0_g1_i1	TR45024-c0_g1_i2	TR44380-c0_g2_i1
o301	TR36767-c0_g1_i7	TR7663-c0_g3_i1	TR46551-c1_g3_i2
o302	TR57825-c0_g1_i1	TR42252-c0_g2_i1	TR36957-c0_g1_i1
o303	TR3779-c0_g3_i2	TR44669-c2_g1_i1	TR6348-c0_g3_i2
o304	TR23511-c0_g2_i1	TR45556-c1_g9_i1	TR3696-c2_g12_i1
o305	Matched_to_other_by_FastOrtho	TR33086-c0_g6_i1	TR36964-c0_g5_i1
o306	TR4131-c0_g1_i1	TR32691-c2_g7_i1	TR9532-c0_g1_i1
o307	TR42094-c2_g2_i1	TR8774-c0_g1_i1	TR36966-c0_g1_i1
