la	lo	p.values	contig	contigs.null	adj.p
-268.606299	-276.808906	5.11443513939669e-05	o1068	o1068	0.00286686640594065
-1591.835965	-1591.835965	1	o1069	o1069	1
-470.283291	-470.283291	1	o106	o106	1
-521.166129	-521.166129	1	o1070	o1070	1
-221.186921	-221.186921	1	o1071	o1071	1
-341.634469	-341.634469	1	o1072	o1072	1
-186.503171	-186.503171	1	o1074	o1074	1
-633.677111	-633.937545	0.470471652611137	o1075	o1075	1
-248.166487	-248.516201	0.402975961296583	o1076	o1076	1
-164.912435	-164.912435	1	o1077	o1077	1
-760.719778	-760.72032	0.973735070118675	o1078	o1078	1
-526.329972	-526.329972	1	o1079	o1079	1
-1767.806081	-1767.820771	0.863904575894498	o107	o107	1
-503.367206	-503.367206	1	o1080	o1080	1
-623.391323	-623.391323	1	o1081	o1081	1
-351.035976	-351.035457	1	o1082	o1082	1
-1580.985038	-1580.997512	0.874496703359918	o1083	o1083	1
-474.742924	-478.780019	0.00449001732006036	o1084	o1084	0.141512959673627
-566.298558	-566.298558	1	o1085	o1085	1
-175.657448	-175.657465	0.995347599870029	o1087	o1087	1
-471.283081	-471.934201	0.253804466900963	o1088	o1088	1
-271.149883	-271.149883	1	o1089	o1089	1
-381.489673	-381.489673	1	o1090	o1090	1
-784.115282	-784.115267	1	o1091	o1091	1
-383.091159	-383.122685	0.801735579725847	o1092	o1092	1
-654.74283	-654.74283	1	o1093	o1093	1
-477.273677	-497.150372	2.88140043274899e-10	o1094	o1094	9.5767272564821e-08
-928.124053	-928.124053	1	o1095	o1095	1
-605.206417	-605.206417	1	o1096	o1096	1
-291.454047	-291.872806	0.360107590195296	o1097	o1097	1
-1825.496144	-1825.496144	1	o1099	o1099	1
-278.278406	-278.278406	1	o109	o109	1
-805.592199	-805.592199	1	o10	o10	1
-196.601063	-196.602381	0.959053008537893	o1101	o1101	1
-287.987828	-288.086001	0.657686557721194	o1102	o1102	1
-430.775542	-430.775542	1	o1103	o1103	1
-255.761649	-255.761649	1	o1105	o1105	1
-448.1118	-448.0965	1	o1106	o1106	1
-314.246614	-314.246616	0.998404231944254	o1107	o1107	1
-592.115421	-592.115421	1	o1109	o1109	1
-325.259891	-325.259891	1	o110	o110	1
-657.011469	-657.012009	0.973783556710478	o1110	o1110	1
-529.353723	-529.353723	1	o1111	o1111	1
-335.626006	-335.626006	1	o1112	o1112	1
-960.161348	-960.161348	1	o1113	o1113	1
-1067.31092	-1067.31092	1	o1114	o1114	1
-298.583102	-298.583102	1	o1115	o1115	1
-308.735944	-308.735944	1	o1116	o1116	1
-216.934047	-216.932887	1	o1117	o1117	1
-366.320859	-366.320859	1	o1118	o1118	1
-440.514707	-440.514701	1	o1119	o1119	1
-565.085187	-565.085187	1	o111	o111	1
-377.193262	-384.648406	0.000112746443463044	o1120	o1120	0.00557028374730932
-521.409181	-521.424863	0.859430751139634	o1121	o1121	1
-342.612472	-342.579541	1	o1122	o1122	1
-22.721949	-22.721952	0.998045591905792	o1123	o1123	1
-227.888268	-227.888269	0.998871621210455	o1124	o1124	1
-31.048591	-31.048591	1	o1125	o1125	1
-405.463718	-405.462894	1	o1127	o1127	1
-365.509821	-365.509853	0.993616991595792	o1128	o1128	1
-334.248278	-334.248276	1	o1129	o1129	1
-892.913186	-892.913186	1	o1131	o1131	1
-307.087289	-307.087289	1	o1132	o1132	1
-443.760221	-443.760221	1	o1134	o1134	1
-335.920394	-335.920394	1	o1135	o1135	1
-710.501049	-710.501049	1	o1136	o1136	1
-599.094231	-599.09503	0.96811306370109	o1137	o1137	1
-318.262248	-318.262246	1	o1138	o1138	1
-501.615856	-501.615856	1	o1139	o1139	1
-289.24281	-289.24281	1	o113	o113	1
-295.570277	-295.570277	1	o1140	o1140	1
-675.736516	-675.736197	1	o1141	o1141	1
-608.887499	-608.891091	0.932453402549212	o1142	o1142	1
-355.294285	-355.294285	1	o1143	o1143	1
-259.67896	-260.024966	0.405480866935819	o1144	o1144	1
-434.432028	-434.432028	1	o1145	o1145	1
-204.845126	-204.845268	0.986554446803284	o1146	o1146	1
-185.354846	-185.354846	1	o1147	o1147	1
-492.859155	-492.859155	1	o1149	o1149	1
-243.684745	-243.684745	1	o114	o114	1
-134.653257	-134.653261	0.997743244677665	o1150	o1150	1
-751.648398	-751.648398	1	o1151	o1151	1
-1200.639411	-1200.639413	0.998404231944254	o1152	o1152	1
-805.317404	-805.317404	1	o1153	o1153	1
-318.635243	-318.635243	1	o1154	o1154	1
-722.24286	-722.970332	0.22773629966474	o1157	o1157	1
-208.706549	-208.706549	1	o1159	o1159	1
-1049.5166	-1049.582543	0.716484528548053	o1160	o1160	1
-657.112739	-657.112739	1	o1161	o1161	1
-611.522775	-611.522775	1	o1162	o1162	1
-359.872732	-359.872732	1	o1163	o1163	1
-498.614987	-498.612277	1	o1164	o1164	1
-532.161296	-532.161296	1	o1165	o1165	1
-399.162445	-399.136145	1	o1166	o1166	1
-396.430244	-396.430244	1	o1167	o1167	1
-209.027922	-209.333145	0.43461993267494	o1168	o1168	1
-601.302819	-601.302819	1	o1169	o1169	1
-322.46508	-322.465077	1	o116	o116	1
-383.943009	-384.315778	0.3878926138913	o1170	o1170	1
-585.255718	-585.255719	0.998871621210455	o1171	o1171	1
-390.457146	-390.457146	1	o1172	o1172	1
-383.76898	-383.76898	1	o1173	o1173	1
-222.47083	-222.47083	1	o1174	o1174	1
-578.813542	-579.060498	0.48218742121708	o1175	o1175	1
-239.689771	-239.689771	1	o1176	o1176	1
-570.886662	-570.886662	1	o1177	o1177	1
-212.726519	-212.726518	1	o1178	o1178	1
-249.136979	-249.136979	1	o1179	o1179	1
-98.458463	-98.458451	1	o117	o117	1
-381.69086	-381.670382	1	o1180	o1180	1
-331.470202	-331.470206	0.99774324466163	o1182	o1182	1
-719.280931	-720.295526	0.154302825807962	o1183	o1183	1
-852.213327	-852.213327	1	o1184	o1184	1
-967.315363	-967.315366	0.998045591909264	o1185	o1185	1
-261.823179	-261.823179	1	o1186	o1186	1
-997.12123	-997.12123	1	o1187	o1187	1
-576.528421	-576.528421	1	o1188	o1188	1
-610.306582	-610.341711	0.79096150234525	o1189	o1189	1
-314.20473	-314.20473	1	o118	o118	1
-668.050391	-668.050391	1	o1190	o1190	1
-530.82951	-530.82951	1	o1191	o1191	1
-1488.855939	-1489.0403	0.543701713016013	o1192	o1192	1
-577.491469	-577.491469	1	o1193	o1193	1
-798.289964	-798.289964	1	o1195	o1195	1
-574.034098	-574.034098	1	o1196	o1196	1
-337.995158	-337.995158	1	o1197	o1197	1
-343.217665	-343.217665	1	o1198	o1198	1
-404.625853	-404.626589	0.969395349095486	o1199	o1199	1
-201.932823	-201.932825	0.998404231944254	o119	o119	1
-683.238558	-683.238558	1	o11	o11	1
-537.946819	-537.946819	1	o1200	o1200	1
-480.053483	-480.053713	0.982888594529436	o1201	o1201	1
-666.384567	-666.414192	0.807685296771306	o1202	o1202	1
-257.509661	-257.509585	1	o1203	o1203	1
-605.351086	-605.744603	0.37499848822359	o1204	o1204	1
-221.785662	-221.785662	1	o1205	o1205	1
-257.390638	-257.390638	1	o1206	o1206	1
-482.461533	-504.921441	2.05270052400697e-11	o1207	o1207	9.05018825095865e-09
-380.585608	-380.585608	1	o1208	o1208	1
-272.115468	-272.750328	0.259819214275766	o1209	o1209	1
-525.3518	-525.3518	1	o120	o120	1
-1244.220764	-1244.220764	1	o1210	o1210	1
-1298.879824	-1298.99054	0.637950965788238	o1211	o1211	1
-231.99226	-231.99226	1	o1212	o1212	1
-333.327352	-333.327352	1	o1213	o1213	1
-516.964284	-534.784108	2.37406117754064e-09	o1214	o1214	5.10562803828741e-07
-288.323353	-288.612121	0.447279754177716	o1215	o1215	1
-1084.80506	-1084.80506	1	o1216	o1216	1
-946.429787	-946.429787	1	o1217	o1217	1
-1028.991813	-1029.002303	0.884833453736644	o1218	o1218	1
-380.767994	-380.767994	1	o1219	o1219	1
-399.483229	-399.483229	1	o121	o121	1
-485.900682	-485.900682	1	o1221	o1221	1
-908.339327	-908.339327	1	o1222	o1222	1
-737.248351	-737.248351	1	o1223	o1223	1
-329.859234	-337.676021	7.68774398395959e-05	o1224	o1224	0.0040733901457038
-858.400168	-858.400168	1	o1225	o1225	1
-587.414364	-587.42473	0.885511437604715	o1226	o1226	1
-161.503568	-161.503568	1	o1227	o1227	1
-228.688274	-228.688152	1	o1228	o1228	1
-374.120292	-374.120292	1	o1230	o1230	1
-935.679216	-935.679222	0.997236052335615	o1231	o1231	1
-225.209442	-225.209442	1	o1232	o1232	1
-305.278501	-305.278501	1	o1233	o1233	1
-322.971702	-322.971702	1	o1234	o1234	1
-444.880798	-444.880798	1	o1235	o1235	1
-523.054114	-523.054114	1	o1236	o1236	1
-674.883646	-674.883646	1	o1237	o1237	1
-727.958842	-730.452162	0.0255437620544563	o1238	o1238	0.630999959939811
-445.961595	-445.961595	1	o1239	o1239	1
-537.914596	-547.27056	1.52028505842593e-05	o123	o123	0.00101057494065549
-326.509517	-326.509517	1	o1241	o1241	1
-450.728119	-450.728119	1	o1242	o1242	1
-386.937837	-387.227343	0.44669984615245	o1243	o1243	1
-458.811743	-458.811742	1	o1245	o1245	1
-258.6215	-258.620821	1	o1246	o1246	1
-172.778838	-172.778837	1	o1247	o1247	1
-529.013974	-529.013974	1	o1249	o1249	1
-432.061425	-432.061425	1	o124	o124	1
-369.932528	-369.932528	1	o1253	o1253	1
-1043.090977	-1043.090977	1	o1254	o1254	1
-2015.414056	-2015.414056	1	o1255	o1255	1
-306.202907	-306.202907	1	o1256	o1256	1
-589.175935	-589.175935	1	o1257	o1257	1
-490.830981	-490.839091	0.898657243564561	o1258	o1258	1
-156.000303	-156.000303	1	o1259	o1259	1
-629.965669	-629.965669	1	o125	o125	1
-271.767829	-271.767829	1	o1260	o1260	1
-317.49469	-317.49469	1	o1262	o1262	1
-410.380723	-410.380723	1	o1263	o1263	1
-1069.313833	-1069.313833	1	o1264	o1264	1
-189.770888	-189.770888	1	o1265	o1265	1
-801.326405	-801.326405	1	o1266	o1266	1
-249.565647	-249.565659	0.996091195540306	o1267	o1267	1
-407.386388	-407.386388	1	o1268	o1268	1
-262.141934	-262.141934	1	o1269	o1269	1
-542.2998	-542.2998	1	o1270	o1270	1
-397.674857	-400.090781	0.0279386683241727	o1272	o1272	0.685528667068292
-2137.900213	-2137.757913	1	o1273	o1273	1
-453.518733	-453.518733	1	o1274	o1274	1
-395.725891	-395.725891	1	o1275	o1275	1
-179.623181	-179.623181	1	o1276	o1276	1
-507.879407	-507.879407	1	o1277	o1277	1
-299.356399	-299.356399	1	o1278	o1278	1
-156.012841	-156.01284	1	o1279	o1279	1
-383.097302	-383.097302	1	o127	o127	1
-264.960429	-264.960429	1	o1280	o1280	1
-420.932145	-420.932145	1	o1281	o1281	1
-438.920559	-438.920559	1	o1282	o1282	1
-455.673383	-455.673383	1	o1283	o1283	1
-300.133715	-300.350891	0.50986117833664	o1284	o1284	1
-146.021307	-146.020443	1	o1285	o1285	1
-634.632115	-634.634764	0.941975328308144	o1286	o1286	1
-708.255089	-708.255089	1	o1287	o1287	1
-277.734371	-277.732372	1	o1288	o1288	1
-222.025031	-222.025031	1	o1289	o1289	1
-1040.860876	-1040.860876	1	o128	o128	1
-630.639291	-630.639291	1	o1290	o1290	1
-1163.475483	-1163.755651	0.45412489474628	o1291	o1291	1
-226.178872	-226.178872	1	o1293	o1293	1
-284.60012	-284.60012	1	o1294	o1294	1
-726.612131	-726.612131	1	o1295	o1295	1
-620.818334	-620.818334	1	o1296	o1296	1
-662.411153	-662.411153	1	o1298	o1298	1
-641.828384	-642.54498	0.231244208035564	o1299	o1299	1
-1368.735151	-1368.735151	1	o129	o129	1
-704.595892	-704.595892	1	o12	o12	1
-304.014734	-304.014734	1	o1300	o1300	1
-469.782596	-469.782596	1	o1301	o1301	1
-278.627772	-278.627772	1	o1302	o1302	1
-538.062233	-538.062233	1	o1303	o1303	1
-574.396881	-574.396879	1	o1304	o1304	1
-328.648879	-328.648877	1	o1305	o1305	1
-260.579912	-260.579912	1	o1306	o1306	1
-299.061017	-299.37023	0.431632796209798	o1307	o1307	1
-514.372025	-514.372025	1	o1308	o1308	1
-220.131836	-220.34653	0.512289400183393	o1309	o1309	1
-692.811616	-692.811616	1	o1311	o1311	1
-244.907602	-244.907602	1	o1312	o1312	1
-325.52635	-325.526382	0.993616991595792	o1313	o1313	1
-348.646752	-348.650125	0.934540127103355	o1314	o1314	1
-236.882203	-236.882203	1	o1315	o1315	1
-550.610047	-550.610047	1	o1316	o1316	1
-733.301801	-733.301801	1	o1317	o1317	1
-472.740492	-472.740492	1	o1318	o1318	1
-216.60404	-216.604086	0.99234707748787	o1319	o1319	1
-598.039075	-598.039075	1	o131	o131	1
-545.183583	-545.183583	1	o1320	o1320	1
-210.51366	-210.731378	0.509333569911563	o1321	o1321	1
-287.110961	-287.110961	1	o1322	o1322	1
-2220.539096	-2220.538161	1	o1323	o1323	1
-66.386917	-66.386916	1	o1324	o1324	1
-150.260358	-150.260358	1	o1325	o1325	1
-539.785454	-539.785454	1	o1326	o1326	1
-462.898208	-463.137336	0.48921334069184	o1327	o1327	1
-281.798268	-281.802089	0.930338838166731	o1329	o1329	1
-774.481757	-774.481757	1	o132	o132	1
-465.632785	-465.632785	1	o1330	o1330	1
-517.626483	-517.626483	1	o1331	o1331	1
-244.216129	-244.216123	1	o1332	o1332	1
-182.249579	-182.249579	1	o1333	o1333	1
-330.992018	-331.416938	0.356597604926559	o1334	o1334	1
-605.138871	-605.138871	1	o1336	o1336	1
-754.023824	-754.023822	1	o1337	o1337	1
-242.670784	-242.670784	1	o1338	o1338	1
-561.296933	-561.296933	1	o1339	o1339	1
-404.720408	-404.720408	1	o1340	o1340	1
-217.533553	-217.533553	1	o1341	o1341	1
-406.367927	-406.367927	1	o1342	o1342	1
-493.482116	-493.640555	0.573489920993815	o1344	o1344	1
-734.555273	-734.555273	1	o1345	o1345	1
-611.608151	-611.608151	1	o1346	o1346	1
-284.183693	-284.183708	0.995629828125738	o1347	o1347	1
-575.833864	-575.833866	0.998404231944254	o1348	o1348	1
-341.846004	-341.846004	1	o1349	o1349	1
-421.48986	-421.48986	1	o134	o134	1
-313.910267	-313.910267	1	o1350	o1350	1
-256.380115	-256.380115	1	o1351	o1351	1
-268.350141	-268.350141	1	o1352	o1352	1
-400.974282	-400.974282	1	o1353	o1353	1
-577.838768	-577.838768	1	o1354	o1354	1
-370.743797	-370.769205	0.82164940788396	o1355	o1355	1
-471.576732	-471.576732	1	o1356	o1356	1
-619.585737	-641.965462	2.22789098081586e-11	o1357	o1357	9.05018825095865e-09
-761.541311	-761.541311	1	o1358	o1358	1
-527.743506	-527.743506	1	o1359	o1359	1
-267.797284	-267.797284	1	o135	o135	1
-346.534801	-346.534801	1	o1360	o1360	1
-418.962907	-418.962907	1	o1361	o1361	1
-975.908577	-976.23387	0.419903247170277	o1362	o1362	1
-338.584688	-338.602571	0.849999542390716	o1363	o1363	1
-218.734517	-218.874113	0.597231298155631	o1364	o1364	1
-303.427699	-303.427699	1	o1365	o1365	1
-510.250253	-510.250253	1	o1366	o1366	1
-522.314931	-522.314931	1	o1367	o1367	1
-422.111938	-422.111939	0.998871621210455	o1369	o1369	1
-267.985095	-267.985095	1	o136	o136	1
-146.890403	-146.958761	0.711567828491411	o1370	o1370	1
-352.059306	-352.059306	1	o1371	o1371	1
-901.340377	-901.340377	1	o1372	o1372	1
-307.113514	-307.113455	1	o1373	o1373	1
-541.163706	-541.163706	1	o1374	o1374	1
-227.676849	-227.676743	1	o1375	o1375	1
-1613.138777	-1613.138777	1	o1377	o1377	1
-230.525772	-230.525772	1	o1378	o1378	1
-555.722109	-555.722109	1	o1379	o1379	1
-893.836514	-893.836514	1	o137	o137	1
-276.608389	-276.608389	1	o1380	o1380	1
-405.060049	-405.060049	1	o1381	o1381	1
-365.765018	-365.765018	1	o1382	o1382	1
-219.742241	-219.7391	1	o1383	o1383	1
-342.686484	-342.686484	1	o1384	o1384	1
-555.037302	-555.037302	1	o1385	o1385	1
-567.516753	-567.518891	0.947862585485528	o1386	o1386	1
-302.527206	-302.517085	1	o1387	o1387	1
-1134.273948	-1134.273948	1	o1388	o1388	1
-343.957712	-344.077195	0.624953923417721	o138	o138	1
-1060.581071	-1060.581071	1	o1390	o1390	1
-316.041845	-316.041845	1	o1391	o1391	1
-641.742205	-641.742205	1	o1392	o1392	1
-304.892175	-304.869177	1	o1393	o1393	1
-268.313935	-268.313935	1	o1394	o1394	1
-462.613851	-462.613851	1	o1395	o1395	1
-371.492563	-371.492563	1	o1396	o1396	1
-443.323267	-443.323267	1	o1397	o1397	1
-582.986918	-614.485893	2.06921832026185e-15	o1398	o1398	4.08425400216784e-12
-1086.782044	-1087.317646	0.300673649031478	o1399	o1399	1
-287.155035	-287.155035	1	o139	o139	1
-516.990385	-516.990385	1	o13	o13	1
-539.315466	-539.315466	1	o1400	o1400	1
-323.537319	-323.537319	1	o1401	o1401	1
-499.611062	-499.611062	1	o1402	o1402	1
-408.256766	-408.256766	1	o1403	o1403	1
-1368.383337	-1368.383337	1	o1404	o1404	1
-505.316835	-505.316835	1	o1405	o1405	1
-565.682569	-568.188006	0.0251885874505697	o1406	o1406	0.626459018498522
-699.406658	-699.406658	1	o1408	o1408	1
-465.765746	-471.993656	0.000416691402560317	o140	o140	0.0179226325618885
-350.627349	-350.627349	1	o1410	o1410	1
-1125.459928	-1125.459928	1	o1411	o1411	1
-904.424062	-904.424062	1	o1412	o1412	1
-639.79407	-639.79407	1	o1413	o1413	1
-691.11409	-691.111632	1	o1414	o1414	1
-300.326599	-300.326599	1	o1415	o1415	1
-161.033147	-161.033147	1	o1416	o1416	1
-640.251645	-640.516575	0.466665724329701	o1417	o1417	1
-238.719141	-238.719141	1	o1418	o1418	1
-550.169216	-551.502263	0.102507320199871	o1419	o1419	1
-970.012303	-970.012303	1	o141	o141	1
-209.8423	-209.8423	1	o1420	o1420	1
-487.934251	-496.431034	3.75067014007608e-05	o1421	o1421	0.00224794262821609
-424.897275	-424.897275	1	o1422	o1422	1
-367.816923	-369.909637	0.0407729162499586	o1423	o1423	0.974286155619927
-849.032985	-849.032985	1	o1424	o1424	1
-572.107368	-572.107368	1	o1425	o1425	1
-387.945284	-387.945284	1	o1426	o1426	1
-251.664632	-251.664632	1	o1427	o1427	1
-349.402455	-349.402455	1	o1428	o1428	1
-643.75958	-643.827608	0.712233796872616	o1429	o1429	1
-383.801176	-383.801176	1	o142	o142	1
-273.7859	-273.7859	1	o1430	o1430	1
-588.965923	-588.965923	1	o1431	o1431	1
-538.152667	-538.152667	1	o1432	o1432	1
-806.160511	-813.880838	8.5136922130587e-05	o1433	o1433	0.00444657981870608
-363.294949	-363.294949	1	o1434	o1434	1
-265.740065	-265.760592	0.839433723871964	o1435	o1435	1
-205.218182	-205.218182	1	o1436	o1436	1
-773.015078	-773.015078	1	o1437	o1437	1
-1202.174312	-1202.174312	1	o1438	o1438	1
-404.395777	-404.395777	1	o1439	o1439	1
-431.822793	-431.866577	0.767292011060335	o143	o143	1
-612.206617	-612.210017	0.934279245523935	o1440	o1440	1
-354.164913	-354.164913	1	o1441	o1441	1
-228.768632	-228.76969	0.963310249910997	o1442	o1442	1
-481.125336	-481.125336	1	o1444	o1444	1
-288.555374	-288.907351	0.401458273929639	o1446	o1446	1
-201.979057	-201.979057	1	o1447	o1447	1
-516.401347	-516.401347	1	o1448	o1448	1
-347.047933	-347.047933	1	o1449	o1449	1
-241.551172	-241.551172	1	o1450	o1450	1
-314.990256	-314.990256	1	o1451	o1451	1
-509.180261	-514.161583	0.0015974847159789	o1452	o1452	0.0589939810264529
-474.322052	-474.322052	1	o1453	o1453	1
-654.401019	-654.710795	0.431213814266931	o1454	o1454	1
-1948.671905	-1948.671905	1	o1455	o1455	1
-319.825466	-319.825466	1	o1456	o1456	1
-657.159537	-657.159537	1	o1457	o1457	1
-315.979022	-315.979022	1	o1458	o1458	1
-264.725189	-272.785858	5.94108703952201e-05	o1459	o1459	0.00324188271887947
-624.219066	-624.219066	1	o145	o145	1
-292.608989	-292.608989	1	o1460	o1460	1
-981.115592	-981.120396	0.921916089718538	o1461	o1461	1
-1321.025108	-1321.025108	1	o1462	o1462	1
-226.28167	-226.28167	1	o1463	o1463	1
-330.396512	-330.387141	1	o1464	o1464	1
-267.11478	-267.11478	1	o1465	o1465	1
-506.029606	-506.029606	1	o1466	o1466	1
-378.114624	-378.114624	1	o1467	o1467	1
-291.383368	-290.237297	1	o1468	o1468	1
-604.043876	-604.043876	1	o146	o146	1
-1441.9687	-1441.9687	1	o1470	o1470	1
-172.520149	-172.520149	1	o1471	o1471	1
-333.457201	-333.457201	1	o1472	o1472	1
-1099.761527	-1099.763355	0.951785397632874	o1473	o1473	1
-647.759133	-647.759133	1	o1474	o1474	1
-434.053253	-450.212757	1.30827269173586e-08	o1475	o1475	2.08129820126038e-06
-372.094819	-372.094818	1	o1476	o1476	1
-348.522481	-348.522481	1	o1477	o1477	1
-266.640573	-266.640574	0.998871621210455	o1478	o1478	1
-614.616385	-614.616385	1	o1479	o1479	1
-424.482221	-424.482221	1	o147	o147	1
-231.682098	-231.682111	0.99593158868535	o1480	o1480	1
-309.857157	-309.857157	1	o1481	o1481	1
-256.170856	-256.170856	1	o1482	o1482	1
-494.156397	-494.156397	1	o1483	o1483	1
-493.496609	-493.738189	0.486994442325277	o1484	o1484	1
-1029.643977	-1029.643969	1	o1485	o1485	1
-383.672963	-383.672964	0.998871621210455	o1487	o1487	1
-472.441838	-472.441838	1	o1488	o1488	1
-468.786695	-468.786695	1	o148	o148	1
-419.985109	-419.985109	1	o1490	o1490	1
-682.302728	-682.302728	1	o1491	o1491	1
-238.233605	-238.233605	1	o1492	o1492	1
-307.202723	-307.202723	1	o1493	o1493	1
-331.695565	-331.695565	1	o1494	o1494	1
-555.414553	-555.424301	0.888953855368368	o1495	o1495	1
-416.683747	-416.785159	0.652450985925182	o1496	o1496	1
-363.94917	-364.098573	0.584631921480695	o1497	o1497	1
-280.107402	-280.107402	1	o1498	o1498	1
-366.670097	-366.670107	0.996431763666324	o1499	o1499	1
-157.172227	-157.172199	1	o149	o149	1
-360.287987	-360.287987	1	o14	o14	1
-329.17417	-329.17417	1	o1500	o1500	1
-453.049652	-453.049652	1	o1501	o1501	1
-151.236909	-151.236909	1	o1502	o1502	1
-301.853594	-301.853594	1	o1503	o1503	1
-538.470263	-538.470263	1	o1504	o1504	1
-600.789616	-600.789616	1	o1505	o1505	1
-191.618619	-191.618619	1	o1506	o1506	1
-533.772103	-549.105764	3.0628003875747e-08	o1507	o1507	4.14725859887893e-06
-394.631143	-394.631143	1	o1508	o1508	1
-290.891026	-290.891032	0.997236052335615	o1509	o1509	1
-817.481103	-817.481103	1	o150	o150	1
-239.26871	-239.26871	1	o1511	o1511	1
-1395.694862	-1395.694862	1	o1512	o1512	1
-456.650392	-468.101974	1.70371182178319e-06	o1513	o1513	0.000141562964100894
-1031.746301	-1031.743938	1	o1515	o1515	1
-1532.385263	-1532.385263	1	o1516	o1516	1
-732.333528	-732.333572	0.99251528913868	o1517	o1517	1
-347.680649	-347.680649	1	o1518	o1518	1
-536.066944	-543.045412	0.000187046268721337	o1519	o1519	0.00876719433904112
-799.649885	-799.649885	1	o151	o151	1
-293.917562	-293.920028	0.944012029803767	o1520	o1520	1
-619.516992	-619.519622	0.942183428373098	o1521	o1521	1
-3555.430654	-3555.430654	1	o1522	o1522	1
-729.586883	-730.233972	0.255279423766395	o1523	o1523	1
-177.953989	-178.264256	0.430848917449987	o1524	o1524	1
-240.864933	-240.864934	0.998871621210455	o1525	o1525	1
-420.662577	-420.662577	1	o1526	o1526	1
-1627.289824	-1627.289824	1	o1527	o1527	1
-157.484776	-157.484776	1	o1528	o1528	1
-287.155072	-287.157165	0.94841341660975	o1529	o1529	1
-390.839948	-390.838872	1	o152	o152	1
-316.756588	-316.756588	1	o1530	o1530	1
-431.927585	-431.927585	1	o1531	o1531	1
-585.362128	-585.362127	1	o1532	o1532	1
-237.973372	-237.973372	1	o1533	o1533	1
-505.289737	-505.289737	1	o1534	o1534	1
