carb	flav	macro
TR38621-c0_g1_i1	TR43737-c0_g1_i1	TR10275-c0_g1_i1
TR3206-c0_g1_i1	TR18073-c1_g1_i1	TR10276-c0_g9_i1
TR57900-c0_g4_i2	TR4814-c0_g1_i1	TR1030-c0_g1_i1
TR7863-c0_g10_i2	TR12074-c0_g1_i1	TR10301-c0_g1_i1
TR20970-c1_g6_i1	TR7564-c1_g1_i1	TR10325-c0_g2_i1
TR11069-c3_g1_i1	TR45477-c0_g5_i1	TR10342-c2_g1_i1
TR20862-c0_g1_i2	TR7995-c0_g1_i2	TR10376-c0_g1_i1
TR12738-c0_g1_i2	TR26178-c0_g1_i1	TR10379-c0_g1_i1
TR42295-c1_g1_i1	TR25145-c0_g1_i1	TR10380-c0_g1_i1
NA	TR44938-c0_g5_i1	TR10385-c0_g3_i1
TR39497-c0_g1_i1	TR34673-c0_g1_i1	TR10388-c2_g1_i1
TR37540-c1_g4_i1	TR13125-c0_g5_i2	TR10407-c1_g1_i1
TR27119-c0_g1_i2	TR8946-c0_g2_i1	TR10415-c0_g2_i1
TR42637-c0_g1_i1	NA	TR10422-c0_g1_i2
TR42637-c0_g4_i1	TR28921-c0_g1_i2	TR10422-c0_g1_i3
TR53960-c0_g2_i1	TR42452-c0_g1_i1	TR10450-c0_g1_i1
TR16171-c0_g1_i2	TR25359-c0_g1_i1	TR10472-c0_g1_i1
TR57947-c1_g4_i1	TR51175-c4_g2_i2	TR10483-c2_g1_i1
TR57947-c1_g6_i1	TR51175-c4_g3_i1	TR10483-c2_g2_i1
TR48543-c0_g1_i1	TR49235-c0_g1_i1	TR10486-c0_g4_i1
TR61094-c0_g2_i1	TR34292-c0_g1_i1	TR10513-c0_g4_i1
TR26645-c0_g3_i1	TR15613-c0_g1_i1	TR10515-c0_g2_i1
TR2220-c0_g4_i1	TR21895-c0_g3_i1	TR10523-c0_g4_i3
TR37571-c0_g8_i1	TR22230-c0_g5_i3	TR10534-c0_g2_i1
TR61555-c3_g2_i2	TR48967-c0_g1_i1	TR10543-c0_g1_i3
TR41182-c1_g1_i1	TR16453-c2_g1_i1	NA
TR48036-c0_g5_i1	TR51006-c0_g1_i1	TR1055-c3_g7_i2
TR15114-c0_g1_i1	TR29510-c0_g2_i1	TR10550-c1_g1_i1
TR9662-c0_g2_i2	TR4999-c0_g1_i1	TR10565-c0_g1_i1
TR12025-c0_g1_i1	TR8137-c0_g2_i1	TR10609-c0_g3_i1
TR41035-c0_g1_i1	TR29312-c0_g1_i1	TR10639-c0_g1_i2
TR2148-c0_g2_i1	TR26558-c0_g1_i1	TR10647-c1_g1_i1
TR50076-c0_g1_i1	TR9865-c0_g1_i1	TR10649-c0_g2_i1
TR4471-c0_g1_i1	TR26531-c0_g1_i1	TR10656-c0_g3_i1
TR28042-c2_g3_i1	TR9124-c0_g4_i1	TR10698-c0_g1_i1
TR30257-c0_g2_i1	NA	TR10709-c0_g1_i1
TR27500-c1_g5_i1	TR8807-c0_g3_i6	TR10710-c1_g1_i5
TR27500-c1_g1_i3	TR34653-c0_g1_i1	TR10710-c2_g3_i1
TR27500-c1_g1_i2	TR34653-c0_g2_i1	TR10710-c2_g3_i2
TR57872-c3_g3_i1	TR44570-c1_g1_i1	TR10717-c0_g2_i1
TR286-c0_g1_i1	TR41176-c0_g1_i1	TR10718-c0_g1_i1
TR31847-c0_g6_i1	TR10158-c0_g1_i1	TR10721-c0_g1_i1
TR11520-c0_g3_i2	TR29354-c0_g10_i1	TR10726-c0_g3_i3
TR13222-c0_g1_i1	TR32866-c0_g3_i2	TR10729-c0_g2_i1
TR1632-c1_g1_i1	TR26250-c0_g2_i1	TR10731-c0_g2_i3
TR25801-c0_g4_i1	TR33202-c0_g4_i1	TR10742-c0_g6_i1
TR27692-c0_g1_i1	TR39612-c0_g1_i1	TR10765-c0_g2_i1
TR40769-c2_g1_i1	TR39575-c0_g1_i1	TR10773-c1_g1_i1
TR40769-c1_g4_i1	TR39218-c0_g1_i1	TR10773-c2_g4_i1
TR40740-c1_g3_i1	TR39878-c0_g4_i1	TR10776-c0_g5_i1
TR33388-c0_g5_i1	TR35960-c0_g2_i1	TR10790-c0_g3_i1
TR1858-c1_g2_i1	TR47642-c1_g5_i1	TR1081-c0_g5_i2
TR25157-c0_g1_i1	TR12993-c0_g1_i1	TR10814-c0_g3_i1
TR58162-c0_g1_i3	TR39255-c2_g1_i2	TR10817-c4_g3_i1
TR17519-c12_g1_i1	TR36164-c2_g1_i1	TR10823-c0_g1_i1
TR17543-c0_g2_i1	TR16861-c0_g3_i1	TR10833-c1_g2_i1
TR17543-c1_g1_i1	TR20575-c0_g2_i2	TR10833-c1_g4_i1
TR52088-c0_g4_i2	TR50025-c0_g4_i1	TR10840-c0_g1_i1
TR7105-c0_g1_i1	TR7544-c0_g1_i1	TR10848-c0_g1_i1
TR4644-c0_g1_i1	TR4862-c0_g1_i2	TR10852-c0_g5_i3
TR34566-c1_g2_i1	TR29356-c0_g1_i1	TR10857-c0_g1_i1
TR21047-c0_g1_i1	TR19548-c0_g3_i1	TR10858-c0_g1_i1
TR23010-c0_g1_i1	TR20745-c0_g1_i1	TR1086-c0_g1_i1
TR49939-c0_g1_i1	TR6458-c1_g1_i1	TR10869-c0_g1_i1
TR44167-c1_g1_i1	TR17723-c0_g1_i1	TR10884-c0_g1_i1
TR29573-c1_g5_i4	TR38687-c1_g1_i1	TR10889-c0_g1_i2
TR60883-c0_g1_i1	TR23802-c0_g1_i1	TR10897-c0_g1_i1
TR53847-c3_g2_i5	TR47635-c0_g1_i2	TR10905-c1_g3_i1
TR29613-c1_g2_i2	TR45455-c0_g1_i1	TR10923-c0_g1_i3
TR41796-c0_g1_i1	TR48263-c0_g4_i1	TR10946-c1_g1_i2
TR16237-c0_g1_i1	TR9088-c0_g1_i1	TR10953-c0_g1_i1
TR11998-c0_g14_i1	TR11903-c1_g1_i1	TR10963-c0_g1_i1
TR57224-c0_g2_i1	TR28844-c0_g1_i1	TR10976-c0_g1_i1
TR21658-c0_g1_i1	TR18049-c0_g1_i1	TR10997-c0_g1_i1
TR6028-c0_g1_i1	TR6639-c0_g1_i1	TR11021-c0_g2_i1
TR11848-c0_g5_i2	TR46403-c0_g1_i3	TR11055-c0_g2_i1
TR15684-c1_g1_i1	TR22915-c0_g1_i1	TR11062-c0_g1_i1
TR8564-c1_g1_i4	TR43750-c0_g1_i1	TR11080-c0_g3_i2
TR49322-c1_g6_i1	TR33315-c0_g4_i1	TR1110-c0_g5_i2
TR49322-c1_g3_i1	TR33315-c0_g1_i1	TR1110-c0_g7_i1
TR44730-c1_g2_i1	TR5191-c0_g1_i1	TR11101-c2_g3_i1
TR18507-c0_g4_i1	TR28706-c0_g1_i1	TR11102-c0_g2_i3
TR12587-c0_g2_i2	TR23548-c0_g1_i3	TR11103-c0_g1_i1
TR12587-c1_g4_i1	TR23548-c1_g6_i1	TR11103-c1_g1_i1
TR12587-c1_g1_i1	TR23548-c1_g2_i1	TR11103-c1_g2_i1
TR50073-c0_g1_i1	TR19304-c0_g1_i1	TR11131-c0_g2_i1
TR51959-c0_g3_i1	TR46607-c0_g1_i1	TR11163-c0_g3_i1
TR45442-c0_g1_i1	TR9040-c0_g1_i1	TR11172-c0_g1_i1
TR31586-c1_g1_i1	TR45194-c1_g1_i1	TR11175-c2_g1_i1
TR10697-c0_g1_i1	TR16223-c0_g1_i1	TR11188-c0_g1_i1
TR19261-c1_g1_i1	TR50723-c0_g1_i1	TR11191-c0_g1_i2
TR18050-c0_g1_i2	NA	TR11199-c2_g1_i1
TR20093-c3_g1_i1	TR34618-c0_g1_i1	TR112-c0_g1_i1
TR51546-c0_g2_i1	TR29199-c0_g3_i1	TR11216-c0_g2_i1
TR41352-c0_g3_i1	TR10575-c0_g6_i4	TR11228-c0_g3_i1
TR897-c2_g1_i4	TR36484-c1_g2_i1	TR11239-c0_g3_i1
TR46835-c0_g4_i1	TR47864-c0_g2_i1	TR11250-c0_g1_i1
TR34734-c0_g3_i2	TR37340-c0_g2_i1	TR11252-c0_g1_i1
TR47136-c0_g2_i1	TR46035-c0_g1_i1	TR11266-c0_g1_i1
TR36173-c0_g1_i1	TR22038-c0_g3_i1	TR11274-c0_g1_i1
TR53357-c0_g6_i1	TR46668-c0_g8_i1	TR11280-c0_g1_i2
TR53357-c0_g1_i1	TR36671-c0_g3_i1	TR11280-c0_g2_i1
TR54922-c0_g3_i1	TR7241-c0_g1_i1	TR11290-c0_g1_i1
TR50336-c0_g6_i3	TR33278-c0_g1_i8	TR11293-c0_g1_i1
TR32753-c0_g1_i1	TR46222-c0_g1_i1	TR11335-c1_g2_i1
TR15931-c0_g2_i1	TR22307-c0_g1_i1	TR1136-c1_g1_i1
TR15931-c2_g2_i1	TR29329-c0_g2_i1	TR1136-c1_g3_i2
TR11674-c1_g1_i1	TR17602-c0_g1_i1	TR11367-c0_g2_i1
TR6109-c1_g1_i1	TR41469-c0_g1_i1	TR11374-c1_g1_i1
TR15515-c0_g1_i2	TR26061-c0_g1_i1	TR11378-c0_g2_i1
TR35868-c0_g4_i1	TR43104-c0_g5_i1	TR11388-c1_g9_i1
TR24425-c0_g2_i1	TR8288-c0_g2_i1	TR11389-c1_g5_i3
TR24425-c0_g1_i1	TR46951-c0_g2_i1	TR11389-c1_g6_i1
TR57176-c2_g1_i1	TR23070-c0_g1_i1	TR114-c2_g1_i1
TR59735-c0_g2_i1	TR45089-c0_g6_i3	TR11401-c0_g2_i1
TR9287-c0_g1_i1	TR22301-c2_g1_i1	TR11423-c1_g1_i1
TR22139-c0_g1_i1	TR19093-c0_g1_i1	TR11439-c0_g1_i1
TR1319-c0_g1_i3	TR26721-c0_g4_i4	TR11447-c1_g2_i1
TR61614-c1_g1_i1	TR8480-c0_g1_i1	TR11452-c0_g1_i1
TR52845-c0_g3_i2	TR875-c1_g1_i1	TR11455-c0_g1_i1
TR52845-c0_g3_i1	TR875-c1_g3_i1	TR11455-c0_g1_i2
TR23504-c0_g10_i1	TR16798-c0_g9_i1	TR11480-c0_g2_i2
TR12709-c1_g1_i1	TR4011-c0_g2_i1	TR11491-c2_g1_i1
TR36583-c0_g4_i1	TR8724-c0_g2_i1	TR11505-c0_g1_i1
TR5721-c0_g1_i1	TR41657-c0_g1_i1	TR1151-c0_g2_i1
TR17611-c0_g1_i1	TR22634-c0_g1_i3	TR11515-c0_g4_i1
TR27885-c0_g10_i1	TR49579-c0_g1_i1	TR11528-c0_g1_i1
TR56051-c1_g1_i1	TR41362-c0_g2_i1	TR11546-c1_g4_i1
TR57828-c0_g1_i1	TR30953-c1_g2_i1	TR11552-c1_g1_i1
TR29482-c2_g3_i2	TR5014-c0_g1_i2	TR1156-c0_g1_i1
TR23408-c1_g1_i1	TR42684-c0_g1_i1	TR1157-c1_g1_i2
TR46930-c1_g1_i3	TR35970-c0_g9_i2	TR11572-c0_g3_i1
TR42048-c0_g1_i1	TR19385-c1_g1_i1	TR11574-c3_g2_i1
TR42048-c2_g1_i1	TR19385-c0_g1_i1	TR11574-c4_g1_i1
TR58735-c0_g2_i1	TR6438-c0_g2_i1	TR11586-c0_g7_i1
TR31847-c0_g1_i1	TR22452-c0_g1_i1	TR11588-c0_g1_i1
TR55930-c0_g2_i1	TR39449-c0_g1_i1	TR11598-c4_g1_i2
TR14247-c0_g1_i1	TR45670-c1_g1_i1	TR11598-c6_g1_i2
TR39655-c1_g1_i1	TR45670-c1_g2_i1	TR11598-c6_g3_i1
TR39655-c0_g1_i1	TR45670-c1_g4_i1	TR11598-c6_g5_i1
TR47364-c0_g1_i1	TR45670-c1_g4_i2	TR11598-c8_g1_i1
TR19784-c1_g1_i2	TR4082-c0_g2_i1	TR11622-c0_g6_i1
TR50340-c0_g2_i1	TR27197-c0_g2_i2	TR11624-c0_g1_i4
TR58724-c2_g2_i1	TR44520-c0_g1_i1	TR11643-c0_g1_i2
TR38891-c3_g5_i3	TR20400-c0_g1_i1	TR11667-c0_g2_i1
TR34316-c5_g3_i4	TR29625-c0_g1_i1	TR11670-c1_g1_i1
TR9114-c0_g1_i1	TR42220-c0_g1_i1	TR11688-c0_g2_i1
TR18118-c0_g1_i1	TR5029-c0_g1_i1	TR11692-c0_g1_i1
TR35303-c8_g9_i2	TR13201-c0_g6_i2	TR1170-c2_g2_i1
TR16044-c0_g1_i1	TR40451-c13_g2_i1	TR11708-c0_g1_i1
TR13992-c1_g1_i1	TR14119-c0_g1_i1	TR11709-c2_g2_i1
TR48144-c0_g1_i1	TR17363-c0_g4_i1	TR11716-c1_g1_i2
TR24049-c0_g1_i2	TR6349-c0_g1_i1	TR11722-c4_g1_i1
TR30366-c0_g1_i1	TR29776-c0_g1_i2	TR11727-c1_g3_i1
TR35791-c2_g2_i1	TR19834-c1_g1_i1	TR11735-c1_g1_i1
TR1406-c0_g4_i1	TR49056-c0_g2_i1	TR11742-c0_g1_i1
TR40730-c1_g1_i1	TR357-c0_g3_i4	TR11759-c10_g1_i1
TR45104-c1_g2_i1	TR18002-c0_g1_i3	TR11763-c0_g3_i1
TR503-c0_g3_i1	TR41655-c0_g2_i2	TR11777-c0_g1_i1
TR47643-c0_g1_i1	TR9872-c2_g4_i1	TR11781-c1_g1_i1
TR11910-c1_g2_i2	TR33850-c1_g2_i1	TR11787-c0_g1_i2
TR25362-c1_g3_i1	TR37390-c0_g1_i1	TR11790-c3_g1_i2
TR28955-c0_g2_i1	TR1320-c0_g2_i1	TR11816-c0_g2_i1
TR40450-c0_g1_i2	TR35011-c0_g1_i2	TR11816-c2_g1_i1
TR43165-c0_g2_i1	TR20824-c0_g4_i1	TR11821-c2_g1_i1
TR3657-c0_g1_i1	TR40451-c12_g2_i1	TR11846-c0_g2_i1
TR42318-c0_g1_i3	TR45302-c1_g2_i1	TR11851-c0_g2_i1
TR5940-c3_g2_i1	TR32828-c0_g1_i1	TR11861-c0_g1_i1
TR52646-c0_g2_i1	TR3957-c0_g1_i2	TR11863-c0_g2_i1
TR18858-c0_g1_i1	TR24740-c0_g1_i1	TR11870-c0_g5_i1
TR37940-c0_g2_i1	TR8509-c0_g1_i2	TR11875-c1_g1_i2
TR5896-c0_g1_i1	TR2789-c0_g3_i4	TR11906-c0_g1_i1
NA	TR5729-c1_g2_i1	TR11906-c1_g2_i1
TR25726-c3_g6_i1	NA	TR1197-c3_g1_i1
TR25726-c3_g5_i5	TR36136-c0_g1_i1	TR1197-c5_g2_i4
TR17167-c3_g10_i3	TR27113-c0_g3_i3	TR1201-c0_g2_i1
TR17167-c3_g9_i2	TR27113-c0_g2_i1	TR1201-c0_g3_i1
TR19374-c0_g1_i2	TR5837-c0_g1_i1	TR12027-c0_g1_i2
TR28060-c3_g4_i1	TR18926-c0_g1_i1	TR12039-c0_g1_i1
TR20518-c0_g2_i1	TR21913-c0_g1_i1	TR1205-c0_g1_i1
TR28843-c0_g2_i1	TR32784-c2_g1_i1	TR12099-c5_g7_i2
TR13409-c0_g6_i1	TR29574-c0_g1_i3	TR12103-c0_g3_i1
TR38311-c0_g1_i1	TR436-c0_g1_i1	TR12108-c1_g1_i1
TR52271-c0_g2_i1	TR47610-c0_g1_i1	TR12118-c1_g1_i1
TR12996-c0_g4_i1	TR21567-c0_g8_i1	TR12128-c0_g1_i1
TR43138-c0_g1_i2	TR9618-c0_g1_i1	TR1213-c0_g1_i1
TR43512-c1_g2_i1	TR16203-c0_g1_i1	TR12133-c1_g1_i1
TR34473-c2_g1_i3	TR19632-c0_g1_i2	TR12139-c0_g1_i1
TR34473-c0_g2_i1	TR29746-c0_g1_i3	TR12139-c1_g1_i1
TR46118-c2_g1_i3	TR16706-c0_g1_i1	TR12146-c1_g2_i1
TR21567-c0_g1_i1	TR21615-c0_g6_i1	TR12148-c0_g2_i1
TR27878-c0_g1_i1	NA	TR12175-c0_g1_i1
TR49154-c0_g1_i1	TR22057-c0_g1_i2	TR12179-c0_g1_i1
TR39807-c1_g1_i1	TR4128-c0_g2_i1	TR12228-c0_g2_i1
TR49313-c0_g5_i1	TR4954-c0_g2_i1	TR12247-c2_g1_i1
TR61250-c0_g1_i1	TR21603-c0_g1_i1	TR12258-c0_g1_i1
TR31350-c0_g6_i4	TR47134-c0_g2_i2	TR12261-c0_g1_i1
TR47963-c0_g9_i1	TR5589-c0_g5_i2	TR12268-c0_g1_i1
TR10706-c0_g1_i1	TR47072-c0_g1_i1	NA
TR51708-c0_g2_i1	TR12834-c0_g1_i1	TR12278-c0_g2_i1
TR30972-c0_g6_i1	TR12696-c0_g1_i1	TR12280-c2_g1_i1
TR13008-c0_g2_i1	TR38127-c0_g1_i1	TR12299-c0_g3_i3
TR22485-c0_g1_i2	TR29490-c0_g1_i1	TR12313-c0_g1_i1
TR2843-c0_g2_i1	TR31173-c0_g1_i1	TR12326-c0_g3_i1
TR31216-c1_g2_i1	TR9917-c0_g4_i1	TR12331-c2_g1_i1
TR38407-c0_g2_i1	TR13018-c0_g1_i1	TR12333-c0_g1_i1
TR21586-c0_g1_i1	TR40126-c1_g2_i1	TR12334-c0_g1_i1
TR40318-c0_g1_i1	TR39511-c0_g1_i1	TR12360-c0_g1_i1
TR58957-c0_g1_i1	TR9106-c0_g1_i1	TR12383-c0_g1_i1
TR34275-c0_g7_i3	TR14227-c0_g8_i1	TR12392-c0_g7_i1
TR52125-c0_g2_i1	TR14538-c0_g2_i1	TR12404-c1_g3_i1
TR5939-c0_g1_i1	TR7480-c1_g4_i1	TR12428-c2_g3_i1
TR8562-c1_g1_i1	TR18021-c0_g1_i1	TR12437-c0_g2_i1
TR45414-c0_g3_i1	TR10087-c0_g3_i3	TR12438-c0_g1_i1
TR56987-c9_g7_i1	TR18613-c1_g2_i1	TR12439-c0_g2_i2
TR37135-c0_g1_i1	TR641-c0_g1_i1	NA
TR45831-c1_g1_i1	TR25499-c0_g3_i2	TR12468-c0_g1_i1
TR52906-c0_g1_i1	TR25752-c0_g1_i1	TR12473-c0_g2_i1
TR39262-c1_g1_i1	TR21523-c0_g1_i1	TR12493-c0_g3_i1
TR54905-c0_g2_i1	TR23420-c0_g3_i1	TR12498-c2_g3_i1
TR54905-c0_g1_i1	TR23420-c0_g4_i1	TR12498-c2_g6_i1
TR43270-c0_g1_i4	TR8019-c0_g3_i2	TR12504-c0_g1_i1
TR19369-c0_g1_i1	TR28992-c0_g1_i1	TR12510-c1_g2_i1
TR30948-c0_g4_i1	TR45705-c0_g2_i2	TR12533-c1_g1_i3
TR42200-c1_g3_i1	TR18864-c0_g4_i1	TR12534-c1_g1_i1
TR42200-c1_g4_i2	TR18864-c0_g1_i3	TR12534-c1_g4_i2
TR26703-c0_g5_i1	TR43230-c0_g3_i1	TR12559-c0_g1_i1
TR48111-c0_g1_i1	TR48177-c0_g1_i1	TR12568-c1_g1_i1
TR61388-c0_g1_i1	TR50259-c0_g1_i1	TR12576-c2_g1_i1
TR34376-c1_g1_i1	TR37464-c1_g1_i1	TR12581-c0_g3_i1
TR25937-c0_g2_i1	TR27290-c0_g1_i1	TR12601-c0_g1_i1
TR13171-c1_g2_i1	TR24344-c1_g2_i1	TR12611-c0_g1_i1
TR13250-c2_g1_i1	TR13971-c0_g1_i1	TR12611-c2_g3_i1
TR5746-c1_g2_i1	TR4178-c0_g1_i1	TR12618-c1_g1_i1
TR60849-c0_g1_i2	TR28505-c0_g4_i1	TR12636-c0_g6_i1
TR28721-c0_g5_i1	TR16300-c0_g6_i2	TR12668-c0_g2_i1
TR48933-c1_g2_i1	TR43822-c0_g2_i2	TR12690-c0_g1_i1
TR40830-c2_g3_i4	TR1126-c0_g8_i1	TR12727-c2_g1_i1
TR38690-c0_g1_i1	TR9370-c0_g2_i1	TR12743-c0_g2_i1
TR28395-c1_g6_i5	TR5083-c1_g4_i1	TR12747-c0_g1_i1
TR28395-c1_g3_i1	TR5083-c1_g5_i1	TR12747-c0_g4_i1
TR40413-c0_g2_i2	TR23911-c0_g1_i2	TR12748-c1_g2_i3
TR865-c0_g1_i1	TR23669-c0_g2_i2	TR12759-c0_g1_i1
TR30674-c0_g1_i1	TR1337-c0_g1_i1	TR12776-c0_g1_i1
TR52010-c1_g2_i2	TR12346-c0_g1_i3	TR12793-c0_g3_i1
TR58168-c0_g2_i1	TR32634-c0_g1_i1	TR12826-c1_g2_i1
TR59397-c1_g1_i1	NA	TR12832-c10_g1_i1
TR27773-c3_g1_i1	TR25446-c0_g1_i1	TR12832-c4_g1_i7
TR12755-c1_g1_i2	TR16803-c0_g1_i1	TR12834-c0_g6_i1
TR43176-c1_g1_i3	TR26795-c2_g1_i1	TR12839-c0_g4_i1
TR32046-c11_g16_i3	TR32560-c1_g3_i1	TR12852-c1_g1_i3
TR51567-c6_g4_i2	TR12781-c0_g2_i3	TR12862-c1_g1_i1
TR15127-c3_g9_i1	TR30527-c2_g1_i1	TR12862-c2_g3_i1
TR21464-c0_g1_i1	TR23005-c0_g1_i1	TR12888-c0_g2_i1
TR29410-c0_g8_i1	TR31317-c0_g5_i1	TR12927-c2_g3_i2
TR29410-c0_g14_i2	TR31317-c0_g1_i1	TR12927-c2_g8_i1
TR52830-c0_g7_i1	TR34721-c0_g1_i1	TR1294-c0_g2_i2
TR23640-c0_g1_i1	TR8730-c1_g1_i1	TR12944-c1_g1_i1
TR16630-c0_g2_i1	TR47728-c0_g1_i1	TR12966-c0_g4_i1
TR2486-c0_g1_i1	TR36669-c0_g1_i1	TR12968-c0_g1_i1
TR32889-c1_g1_i1	TR25888-c0_g1_i1	TR12971-c0_g1_i2
TR15481-c0_g1_i2	TR33496-c0_g3_i1	TR12988-c0_g1_i1
TR54330-c0_g3_i1	TR25102-c0_g1_i1	TR12993-c0_g1_i1
TR51996-c0_g2_i1	TR35158-c0_g1_i1	TR12993-c1_g3_i1
TR16400-c0_g1_i1	TR36327-c0_g1_i1	TR12993-c1_g5_i1
TR52764-c0_g1_i1	TR11656-c0_g1_i1	TR12998-c0_g1_i1
TR22365-c4_g4_i1	TR8782-c1_g4_i2	TR13-c0_g3_i3
TR36337-c1_g2_i1	TR35490-c0_g3_i1	TR13000-c0_g1_i3
TR60079-c1_g1_i2	TR46522-c0_g1_i1	TR13006-c0_g1_i1
TR26423-c0_g8_i1	TR21051-c1_g1_i2	TR13026-c1_g1_i1
TR40012-c2_g2_i3	TR17803-c1_g2_i1	TR13042-c0_g6_i3
TR49746-c0_g1_i1	TR16454-c0_g1_i1	TR13045-c4_g1_i1
TR6185-c0_g4_i1	TR21698-c0_g1_i1	TR13069-c0_g2_i1
TR44696-c1_g5_i2	TR27928-c0_g4_i1	TR1307-c1_g3_i1
TR44696-c2_g1_i1	TR27928-c0_g3_i1	TR1307-c2_g1_i3
TR45901-c3_g1_i1	TR19372-c1_g1_i1	TR13085-c1_g5_i1
TR20472-c1_g2_i1	TR31655-c0_g1_i1	TR13096-c0_g2_i1
TR8956-c0_g1_i1	TR20373-c1_g1_i1	TR13110-c0_g2_i1
TR45193-c1_g1_i1	TR40738-c0_g2_i1	TR13118-c0_g1_i1
TR49692-c0_g4_i2	TR40786-c1_g2_i1	TR13121-c1_g1_i1
TR21779-c0_g3_i1	TR31585-c0_g1_i1	TR13124-c0_g1_i1
TR26672-c0_g1_i3	TR23621-c0_g1_i1	TR1313-c0_g1_i1
TR43906-c0_g1_i2	TR36613-c0_g2_i1	TR13168-c5_g4_i2
TR41950-c0_g4_i2	TR26652-c0_g1_i1	TR13168-c5_g6_i1
TR51020-c0_g2_i1	TR6387-c0_g1_i1	TR1317-c4_g1_i1
TR37318-c0_g1_i1	TR16371-c0_g3_i1	TR13174-c2_g1_i4
TR34316-c3_g1_i1	TR14435-c0_g1_i1	TR13202-c0_g1_i4
TR52505-c0_g5_i1	TR1349-c0_g3_i3	TR13212-c0_g5_i1
TR16043-c0_g1_i1	TR44208-c0_g1_i1	TR13220-c0_g1_i1
TR57232-c1_g2_i1	TR42606-c0_g4_i3	TR1323-c5_g4_i2
TR13112-c0_g2_i1	TR47059-c0_g1_i1	TR13251-c0_g1_i1
TR44136-c0_g9_i3	TR42006-c0_g9_i1	TR13259-c0_g11_i1
TR12447-c0_g2_i1	TR43695-c0_g1_i1	TR13266-c0_g1_i4
TR29268-c0_g1_i1	TR25837-c0_g1_i1	TR13274-c0_g2_i1
TR2849-c4_g2_i1	NA	TR13282-c3_g1_i1
TR36551-c0_g2_i1	TR28010-c0_g1_i2	TR13282-c5_g1_i2
TR51793-c0_g1_i2	TR19283-c1_g1_i1	TR13282-c7_g1_i1
TR11872-c1_g1_i1	TR23614-c0_g1_i2	TR13284-c1_g1_i1
TR30134-c0_g2_i1	TR25401-c0_g1_i1	TR13288-c1_g1_i1
TR13849-c0_g2_i1	TR30395-c1_g1_i2	TR13294-c0_g2_i1
TR44428-c0_g3_i1	TR39276-c0_g2_i3	TR13306-c0_g4_i1
TR7408-c0_g1_i1	TR9413-c1_g1_i1	TR13339-c0_g1_i1
TR4891-c1_g2_i1	TR40420-c0_g1_i1	TR13343-c0_g1_i1
TR45790-c1_g4_i1	TR3866-c0_g2_i2	TR13351-c0_g1_i1
TR12347-c0_g1_i1	TR27605-c0_g1_i1	NA
TR38745-c1_g2_i1	TR27777-c1_g1_i1	TR13357-c0_g3_i1
