contig	species	dN	dS	dNdS
TR20785-c0_g1_i1	carb	0.0001	0.0629	0.0010
TR42304-c2_g1_i1	carb	0.0000	0.0441	0.0010
TR5205-c1_g4_i1	carb	0.0086	0.0249	0.3442
TR2168-c0_g2_i2	carb	0.0064	0.0191	0.3334
TR40618-c0_g2_i2	carb	0.0190	0.0798	0.2378
TR40618-c0_g7_i1	carb	0.0078	0.0001	99.0000
TR47452-c1_g2_i1	carb	0.0400	0.0262	1.5294
TR22296-c0_g1_i1	carb	0.0035	0.0288	0.1207
TR45342-c0_g3_i1	carb	0.0000	0.0135	0.0010
TR44023-c1_g6_i1	carb	0.0000	0.0317	0.0010
TR31912-c0_g1_i1	carb	0.0000	0.0430	0.0010
TR28382-c0_g1_i1	carb	0.0090	0.0709	0.1269
TR29115-c2_g6_i1	carb	0.0465	0.0484	0.9602
TR24598-c2_g54_i1	carb	0.0000	0.0207	0.0010
TR1602-c2_g1_i1	carb	0.0000	0.0085	0.0010
TR25576-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR6101-c0_g3_i1	carb	0.0000	0.0094	0.0010
TR49-c4_g2_i3	carb	0.0000	0.0408	0.0010
TR34368-c0_g1_i1	carb	0.0097	0.0229	0.4216
TR13288-c0_g1_i1	carb	0.0568	0.1200	0.4730
TR35599-c1_g1_i1	carb	0.0000	0.0233	0.0010
TR6719-c0_g1_i2	carb	0.0025	0.0231	0.1091
TR8223-c0_g1_i1	carb	0.0126	0.0107	1.1702
TR27793-c1_g3_i1	carb	0.0000	0.0000	0.0010
TR34242-c0_g7_i2	carb	0.0220	0.1093	0.2016
TR18126-c0_g2_i1	carb	0.0000	0.0277	0.0010
TR10726-c0_g3_i3	carb	0.0000	0.0000	99.0000
TR44039-c0_g1_i1	carb	0.0071	0.0001	99.0000
TR20425-c1_g1_i1	carb	0.0117	0.0723	0.1623
TR5331-c0_g1_i1	carb	0.0107	0.0441	0.2424
TR8166-c0_g6_i1	carb	0.0000	0.0201	0.0010
TR21165-c0_g1_i1	carb	0.0000	0.0310	0.0010
TR11367-c0_g2_i1	carb	0.0000	0.0000	1.6361
TR45593-c1_g4_i1	carb	0.0001	0.0560	0.0010
TR45593-c0_g1_i1	carb	0.0057	0.0282	0.2013
TR24349-c0_g1_i1	carb	0.0000	0.0167	0.0010
TR28730-c0_g3_i1	carb	0.0104	0.0132	0.7916
TR4534-c0_g2_i1	carb	0.0171	0.9124	0.0188
TR32536-c1_g1_i1	carb	0.0000	0.0203	0.0010
TR32536-c1_g2_i1	carb	0.0000	0.0000	99.0000
TR32536-c2_g8_i1	carb	0.0000	0.0363	0.0010
TR6852-c0_g1_i1	carb	0.0000	0.0292	0.0010
TR4090-c7_g32_i1	carb	0.0382	0.0487	0.7830
TR23863-c0_g1_i1	carb	0.0024	0.0168	0.1446
TR25355-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR28650-c1_g1_i2	carb	0.0000	0.0106	0.0010
TR8066-c0_g1_i1	carb	0.0000	0.0200	0.0010
TR11055-c0_g2_i1	carb	0.0001	0.0533	0.0010
TR31901-c0_g2_i2	carb	0.0144	0.0230	0.6270
TR14627-c0_g6_i2	carb	0.1022	2.5203	0.0405
TR13284-c1_g1_i1	carb	0.0058	0.0269	0.2156
TR4774-c1_g3_i2	carb	0.0001	0.0531	0.0010
TR5340-c3_g1_i1	carb	0.0000	0.0132	0.0010
TR46483-c2_g2_i1	carb	0.0805	0.3042	0.2645
TR6675-c2_g2_i1	carb	0.0074	0.0284	0.2612
TR20563-c0_g1_i1	carb	0.0000	0.0000	0.2270
TR7183-c3_g4_i1	carb	0.0014	0.0252	0.0566
TR11787-c0_g1_i2	carb	0.0000	0.0146	0.0010
TR33295-c0_g2_i1	carb	0.0037	0.0144	0.2556
TR9566-c0_g1_i1	carb	0.0025	0.0218	0.1160
TR43653-c2_g1_i1	carb	0.0023	0.0143	0.1600
TR6220-c0_g1_i4	carb	0.0151	0.0799	0.1887
TR13867-c0_g1_i1	carb	0.0044	0.0476	0.0925
TR43035-c0_g2_i1	carb	0.0055	0.0200	0.2762
TR40374-c1_g5_i1	carb	0.0147	0.0001	99.0000
TR40374-c0_g1_i1	carb	0.0989	0.3745	0.2642
TR35842-c0_g1_i1	carb	0.0773	76.7600	0.0010
TR10963-c0_g1_i1	carb	0.0073	0.0103	0.7116
TR7535-c1_g1_i1	carb	0.0000	0.0077	0.0010
TR32642-c1_g3_i1	carb	0.0044	0.0252	0.1736
TR10609-c0_g3_i1	carb	0.0000	0.0154	0.0010
TR9732-c1_g4_i4	carb	0.0083	0.0156	0.5297
TR9732-c1_g2_i1	carb	0.0135	0.0206	0.6533
TR26416-c1_g1_i1	carb	0.0000	0.0427	0.0010
TR8211-c0_g1_i1	carb	0.0000	0.0119	0.0010
TR1338-c0_g1_i1	carb	0.0000	0.0463	0.0010
TR22206-c1_g1_i2	carb	0.0033	0.0188	0.1735
TR4328-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR40753-c0_g2_i2	carb	0.0145	0.0719	0.2015
TR35367-c0_g2_i1	carb	0.0116	0.0001	99.0000
TR26117-c3_g1_i1	carb	0.0000	0.0000	0.0010
TR40497-c2_g1_i2	carb	0.0000	0.0236	0.0010
TR2542-c0_g5_i1	carb	0.0076	0.0137	0.5558
TR2542-c0_g1_i2	carb	0.0062	0.0264	0.2359
TR2542-c0_g7_i1	carb	0.0041	0.0084	0.4930
TR20441-c0_g4_i1	carb	0.0132	0.0197	0.6691
TR6223-c1_g3_i1	carb	0.0000	0.0000	0.0010
TR14905-c1_g1_i1	carb	0.0313	0.0248	1.2580
TR25561-c0_g1_i1	carb	0.0000	0.0122	0.0010
TR4148-c0_g1_i1	carb	0.0064	0.0974	0.0654
TR19338-c0_g2_i1	carb	0.0000	0.0477	0.0010
TR17769-c0_g1_i1	carb	0.0000	0.0151	0.0010
TR4733-c0_g1_i1	carb	0.0091	0.0001	99.0000
TR18858-c0_g5_i1	carb	0.0072	0.0309	0.2337
TR13356-c0_g2_i1	carb	0.1478	5.9871	0.0247
TR39482-c0_g2_i1	carb	0.0154	0.0783	0.1967
TR9255-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR9255-c0_g6_i1	carb	0.0001	0.1103	0.0010
TR32372-c0_g3_i2	carb	0.0000	0.0000	99.0000
TR28639-c2_g3_i1	carb	0.0000	0.0289	0.0010
TR2965-c0_g1_i1	carb	0.0000	0.0000	0.3517
TR30393-c0_g1_i1	carb	0.0204	0.0169	1.2048
TR9500-c0_g1_i1	carb	0.0270	0.0318	0.8466
TR44411-c0_g1_i2	carb	0.0141	0.0224	0.6293
TR38438-c0_g1_i1	carb	0.0000	0.0133	0.0010
TR13266-c0_g1_i4	carb	0.0000	0.0000	0.0010
TR10385-c0_g3_i1	carb	0.0839	0.1559	0.5384
TR1705-c0_g1_i1	carb	0.0000	0.0372	0.0010
TR47331-c0_g1_i1	carb	0.0000	0.0000	99.0000
TR15596-c0_g4_i1	carb	0.0000	0.0000	0.2773
TR39292-c1_g1_i1	carb	0.0000	0.0000	2.0019
TR33574-c0_g1_i1	carb	0.0042	0.0399	0.1054
TR40415-c0_g1_i1	carb	0.0000	0.0369	0.0010
TR664-c0_g1_i1	carb	0.0000	0.0122	0.0010
TR664-c0_g2_i1	carb	0.0000	0.0000	0.3608
TR17627-c1_g1_i1	carb	0.0077	0.0001	99.0000
TR17627-c0_g2_i1	carb	0.0136	0.0771	0.1762
TR11103-c0_g1_i1	carb	0.0000	0.0493	0.0010
TR11103-c1_g2_i1	carb	0.0001	0.0512	0.0010
TR11103-c1_g1_i1	carb	0.0000	0.0213	0.0010
TR39168-c0_g3_i1	carb	0.0000	0.0083	0.0010
TR8114-c0_g1_i1	carb	0.0092	0.0853	0.1083
TR21192-c0_g1_i1	carb	0.0000	0.0120	0.0010
TR32724-c0_g4_i2	carb	0.0000	0.0000	0.2397
TR11491-c2_g1_i1	carb	0.0000	0.0454	0.0010
TR38266-c1_g2_i2	carb	0.0000	0.0000	0.0010
TR36434-c0_g1_i1	carb	0.0088	0.0171	0.5172
TR28064-c1_g1_i1	carb	0.0007	0.6926	0.0010
TR10379-c0_g1_i1	carb	0.0000	0.0402	0.0010
TR12834-c0_g6_i1	carb	0.0147	0.0316	0.4665
TR9691-c0_g1_i2	carb	0.0074	0.0001	99.0000
TR28094-c2_g1_i1	carb	0.0000	0.0125	0.0010
TR32971-c0_g3_i2	carb	0.0000	0.0000	0.2085
TR44736-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR8633-c0_g2_i1	carb	0.0000	0.0195	0.0010
TR3325-c1_g1_i1	carb	0.0000	0.0000	0.0010
TR26533-c3_g1_i2	carb	0.0000	0.0000	0.0010
TR47229-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR14664-c1_g1_i1	carb	0.0311	0.0326	0.9522
TR4485-c2_g1_i1	carb	0.0000	0.0056	0.0010
TR5587-c2_g5_i1	carb	0.0052	0.0068	0.7637
TR26163-c1_g2_i1	carb	0.0000	0.0160	0.0010
TR42577-c0_g8_i1	carb	0.0000	0.0000	44.8419
TR42577-c0_g6_i1	carb	0.0108	0.0001	99.0000
TR12128-c0_g1_i1	carb	0.0026	0.0064	0.4028
TR3346-c4_g3_i1	carb	0.0000	0.0065	0.0010
TR12299-c0_g3_i3	carb	0.0000	0.0000	0.3696
TR6563-c1_g2_i1	carb	0.0000	0.0000	0.1413
TR6563-c1_g3_i1	carb	0.0000	0.0352	0.0010
TR6563-c1_g11_i1	carb	0.0065	0.0001	99.0000
TR6563-c1_g8_i1	carb	0.0000	0.0000	99.0000
TR17762-c0_g2_i1	carb	0.0000	0.0498	0.0010
TR27419-c1_g2_i2	carb	0.0001	0.0873	0.0010
TR27419-c1_g3_i1	carb	0.0000	0.0478	0.0010
TR30714-c0_g1_i1	carb	0.0000	0.0112	0.0010
TR15374-c0_g2_i1	carb	0.0000	0.0000	0.0010
TR13251-c0_g1_i1	carb	0.0000	0.0406	0.0010
TR24938-c3_g1_i1	carb	0.0019	0.0495	0.0390
TR18273-c0_g2_i1	carb	0.0112	0.0337	0.3328
TR22205-c1_g6_i1	carb	0.0000	0.0164	0.0010
TR22205-c1_g1_i2	carb	0.0142	0.0842	0.1683
TR12611-c0_g1_i1	carb	0.0000	0.0383	0.0010
TR32381-c1_g4_i4	carb	0.0073	0.0461	0.1575
TR11447-c1_g2_i1	carb	0.0000	0.0365	0.0010
TR39428-c0_g2_i1	carb	0.0000	0.0164	0.0010
TR10729-c0_g2_i1	carb	0.0054	0.0638	0.0852
TR17776-c0_g1_i1	carb	0.0000	0.0000	1.9558
TR17776-c0_g3_i1	carb	0.0000	0.0104	0.0010
TR42062-c0_g4_i1	carb	0.0029	0.0000	99.0000
TR5189-c1_g2_i1	carb	0.0000	0.0000	0.2181
TR19416-c0_g5_i1	carb	0.0067	0.0253	0.2659
TR19416-c0_g3_i1	carb	0.0000	0.0000	0.0010
TR12611-c2_g3_i1	carb	0.0000	0.0167	0.0010
TR30003-c1_g1_i2	carb	0.0000	0.0290	0.0010
TR26321-c1_g1_i1	carb	0.0030	0.0000	99.0000
TR22443-c0_g1_i1	carb	0.0000	0.0126	0.0010
TR36427-c0_g2_i1	carb	0.0043	0.0829	0.0517
TR22415-c0_g1_i3	carb	0.0081	0.0287	0.2807
TR15372-c0_g1_i1	carb	0.0000	0.0000	3.1099
TR16778-c9_g3_i1	carb	0.0000	0.0132	0.0010
TR2395-c0_g2_i1	carb	0.0000	0.0374	0.0010
TR39253-c1_g2_i2	carb	0.0001	0.1282	0.0010
TR15101-c1_g1_i1	carb	0.0001	0.0629	0.0010
TR21669-c0_g1_i1	carb	0.0001	0.0539	0.0010
TR28764-c3_g2_i1	carb	0.0001	0.0710	0.0010
TR28764-c3_g4_i1	carb	0.0000	0.0000	0.3483
TR28764-c2_g3_i1	carb	0.0000	0.0325	0.0010
TR45953-c1_g1_i1	carb	0.0000	0.0123	0.0010
TR36764-c0_g1_i1	carb	0.0001	0.0563	0.0010
TR40288-c0_g1_i1	carb	0.0042	0.0269	0.1548
TR25867-c0_g6_i1	carb	0.0023	0.0416	0.0562
TR12103-c0_g3_i1	carb	0.0045	0.0427	0.1064
TR21882-c0_g1_i1	carb	0.0044	0.0199	0.2206
TR39431-c0_g2_i1	carb	0.0088	0.0282	0.3120
TR24974-c1_g1_i1	carb	0.0000	0.0000	0.0010
TR28064-c4_g3_i1	carb	0.0091	0.0587	0.1545
TR21759-c0_g5_i2	carb	0.0000	0.0071	0.0010
TR4000-c2_g2_i1	carb	0.0000	0.0073	0.0010
TR215-c0_g1_i1	carb	0.0016	0.0244	0.0654
TR14510-c2_g6_i1	carb	0.0044	0.0426	0.1040
TR14510-c2_g2_i2	carb	0.0000	0.0134	0.0010
TR24058-c2_g1_i1	carb	0.0001	0.0541	0.0010
TR33822-c0_g1_i1	carb	0.0000	0.0394	0.0010
TR45780-c0_g3_i1	carb	0.0073	0.0281	0.2588
TR44541-c0_g2_i1	carb	0.0023	0.0431	0.0542
TR46142-c1_g1_i1	carb	0.0023	0.0426	0.0542
TR46142-c0_g1_i2	carb	0.0049	0.0336	0.1465
TR46235-c3_g1_i1	carb	0.0027	0.1014	0.0267
TR19092-c0_g1_i1	carb	0.0113	0.1258	0.0901
TR46623-c0_g3_i2	carb	0.0032	0.0181	0.1798
TR14993-c0_g2_i1	carb	0.0000	0.0280	0.0010
TR39261-c0_g2_i1	carb	0.0001	0.0714	0.0010
TR36667-c0_g3_i2	carb	0.0049	0.0202	0.2422
TR22116-c0_g1_i1	carb	0.0001	0.0605	0.0010
TR24411-c1_g1_i2	carb	0.0000	0.0125	0.0010
TR10215-c2_g15_i1	carb	0.0001	0.0557	0.0010
TR5968-c0_g3_i1	carb	0.0000	0.0143	0.0010
TR45818-c0_g2_i1	carb	0.0017	0.0443	0.0373
TR1987-c1_g2_i1	carb	0.0099	0.0369	0.2676
TR17910-c0_g2_i2	carb	0.0128	0.0922	0.1386
TR27485-c1_g1_i1	carb	0.0000	0.0000	1.7683
TR23725-c0_g1_i1	carb	0.0001	0.1221	0.0010
TR27436-c0_g5_i1	carb	0.0000	0.0381	0.0010
TR24727-c0_g1_i1	carb	0.0000	0.0360	0.0010
TR27354-c0_g1_i1	carb	0.0045	0.0217	0.2066
TR27354-c0_g3_i2	carb	0.0068	0.0001	99.0000
TR13294-c0_g2_i1	carb	0.0000	0.0181	0.0010
TR36955-c0_g2_i2	carb	0.0401	0.0879	0.4562
TR30050-c1_g1_i1	carb	0.0001	0.0734	0.0010
TR38495-c0_g2_i1	carb	0.0149	0.0309	0.4818
TR33825-c0_g2_i1	carb	0.0000	0.0000	99.0000
TR45776-c0_g3_i2	carb	0.1290	68.1007	0.0019
TR25761-c0_g1_i1	carb	0.0028	0.0000	99.0000
TR21386-c0_g1_i1	carb	0.0000	0.0147	0.0010
TR11709-c2_g2_i1	carb	0.0000	0.0372	0.0010
TR25659-c0_g1_i1	carb	0.0061	0.0222	0.2732
TR42631-c0_g2_i1	carb	0.0000	0.0000	0.0515
TR14790-c1_g10_i1	carb	0.0001	0.0537	0.0010
TR36683-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR24412-c0_g2_i1	carb	0.0040	0.0505	0.0792
TR21996-c0_g2_i1	carb	0.0000	0.0220	0.0010
TR11742-c0_g1_i1	carb	0.0096	0.0001	99.0000
TR20672-c0_g1_i1	carb	0.0046	0.0252	0.1841
TR21348-c0_g1_i1	carb	0.0001	0.0722	0.0010
TR38315-c0_g7_i1	carb	0.0086	0.0152	0.5691
TR31262-c1_g1_i1	carb	0.0030	0.0237	0.1286
TR44258-c1_g4_i2	carb	0.0000	0.0169	0.0010
TR30711-c1_g1_i2	carb	0.0034	0.0075	0.4547
TR37256-c9_g2_i2	carb	0.0038	0.0063	0.5971
TR24876-c0_g3_i3	carb	0.1144	54.8741	0.0021
TR37106-c1_g4_i1	carb	0.0000	0.0486	0.0010
TR37106-c1_g5_i1	carb	0.0000	0.0237	0.0010
TR37106-c1_g2_i1	carb	0.0000	0.0292	0.0010
TR39916-c1_g1_i1	carb	0.0001	0.0548	0.0010
TR26178-c0_g1_i1	carb	0.0000	0.0000	0.1905
TR40669-c1_g1_i1	carb	0.0000	0.0201	0.0010
TR20805-c0_g2_i2	carb	0.0000	0.0000	0.0010
TR15004-c0_g2_i1	carb	0.0000	0.0226	0.0010
TR11598-c6_g1_i2	carb	0.0072	0.0406	0.1769
TR7557-c1_g1_i1	carb	0.0715	0.0957	0.7476
TR27276-c2_g3_i3	carb	0.0143	0.0562	0.2544
TR5160-c0_g1_i1	carb	0.0000	0.0176	0.0010
TR5932-c2_g1_i1	carb	0.0001	0.0625	0.0010
TR21622-c0_g4_i1	carb	0.0000	0.0149	0.0010
TR21622-c0_g2_i1	carb	0.0154	0.0282	0.5453
TR21622-c0_g7_i1	carb	0.0000	0.0221	0.0010
TR16487-c4_g2_i1	carb	0.0000	0.0303	0.0010
TR32968-c1_g2_i1	carb	0.0000	0.0000	0.1969
TR13617-c1_g1_i1	carb	0.0093	0.0201	0.4648
TR46795-c0_g2_i1	carb	0.0000	0.0090	0.0010
TR39037-c0_g3_i1	carb	0.0030	0.0214	0.1398
TR19638-c0_g1_i1	carb	0.0000	0.0255	0.0010
TR2843-c0_g1_i1	carb	0.0067	0.0534	0.1246
TR7440-c0_g4_i1	carb	0.0139	0.0001	99.0000
TR7024-c1_g1_i2	carb	0.0131	0.0432	0.3025
TR31926-c0_g2_i1	carb	0.0001	0.0656	0.0010
TR45132-c0_g1_i1	carb	0.0083	0.0211	0.3953
TR34204-c0_g1_i1	carb	0.0093	0.0229	0.4041
TR28102-c0_g1_i2	carb	0.0528	0.0395	1.3346
TR43325-c0_g1_i1	carb	0.0000	0.0028	0.0010
TR39169-c0_g1_i1	carb	0.0000	0.0278	0.0010
TR4090-c6_g6_i2	carb	0.1111	0.1302	0.8528
TR14225-c0_g1_i1	carb	0.0001	0.1388	0.0010
TR45750-c0_g1_i1	carb	0.0000	0.0412	0.0010
TR22531-c0_g1_i2	carb	0.0000	0.0086	0.0010
TR35232-c0_g1_i1	carb	0.0000	0.0183	0.0010
TR22019-c0_g1_i2	carb	0.0001	0.0735	0.0010
TR44155-c0_g1_i1	carb	0.0000	0.0064	0.0010
TR17044-c6_g2_i7	carb	0.1412	0.1524	0.9261
TR9639-c0_g1_i1	carb	0.0096	0.0429	0.2242
TR45746-c0_g2_i1	carb	0.0327	0.1066	0.3072
TR45240-c0_g1_i1	carb	0.0000	0.0249	0.0010
TR36398-c0_g1_i1	carb	0.0000	0.0099	0.0010
TR24644-c0_g3_i2	carb	0.0000	0.0000	0.0010
TR38635-c3_g8_i1	carb	0.0091	0.0001	99.0000
TR9256-c6_g1_i1	carb	0.0160	0.0397	0.4038
TR32424-c0_g6_i3	carb	0.0044	0.0265	0.1673
TR30783-c0_g1_i1	carb	0.0001	0.0679	0.0010
TR26882-c0_g1_i1	carb	0.0907	0.2042	0.4439
TR35445-c0_g1_i1	carb	0.0044	0.0000	99.0000
TR27361-c0_g2_i1	carb	0.0017	0.0340	0.0508
TR36234-c0_g2_i1	carb	0.0095	0.0316	0.3022
TR6171-c0_g2_i6	carb	0.0000	0.0223	0.0010
TR22984-c2_g9_i3	carb	0.0367	0.0630	0.5831
TR19065-c2_g1_i2	carb	0.0000	0.0000	99.0000
TR30821-c0_g1_i1	carb	0.0000	0.0486	0.0010
TR28616-c0_g5_i1	carb	0.0000	0.0000	0.0010
TR28616-c0_g2_i1	carb	0.0000	0.0000	0.0010
TR32143-c0_g1_i1	carb	0.0069	0.0435	0.1595
TR44464-c0_g1_i1	carb	0.0049	0.0508	0.0972
TR25706-c4_g2_i1	carb	0.0000	0.0092	0.0010
TR18911-c0_g2_i2	carb	0.0068	0.0231	0.2938
TR36744-c0_g1_i1	carb	0.0000	0.0135	0.0010
TR28962-c2_g3_i2	carb	0.0147	0.0355	0.4145
TR16256-c0_g2_i1	carb	0.0000	0.0154	0.0010
TR5659-c0_g1_i1	carb	0.0131	0.0258	0.5081
TR10550-c1_g1_i1	carb	0.0000	0.0376	0.0010
TR5842-c1_g1_i1	carb	0.0000	0.0000	0.1030
TR29825-c0_g1_i1	carb	0.0000	0.0123	0.0010
TR12862-c2_g3_i1	carb	0.0025	0.0211	0.1182
TR31115-c0_g1_i1	carb	0.0000	0.0162	0.0010
TR28093-c0_g2_i1	carb	0.0000	0.0443	0.0010
TR3613-c0_g1_i1	carb	0.0000	0.0417	0.0010
TR25356-c2_g1_i1	carb	0.0000	0.0095	0.0010
TR20297-c1_g3_i1	carb	0.0000	0.0117	0.0010
TR20297-c0_g1_i1	carb	0.0532	0.0752	0.7078
TR32054-c1_g6_i1	carb	0.0000	0.0000	0.0010
TR32054-c1_g4_i1	carb	0.0000	0.0000	0.0010
TR19189-c0_g2_i1	carb	0.0000	0.0000	0.5491
TR38538-c0_g3_i1	carb	0.0001	0.0751	0.0010
TR1422-c0_g10_i1	carb	0.0000	0.0291	0.0010
TR17060-c0_g3_i1	carb	0.0000	0.0489	0.0010
TR17060-c0_g2_i1	carb	0.0000	0.0000	0.9810
TR41568-c0_g3_i3	carb	0.0000	0.0000	0.0010
TR43963-c0_g11_i1	carb	0.0076	0.0174	0.4374
TR15793-c0_g3_i7	carb	0.0832	43.0746	0.0019
TR41817-c6_g3_i1	carb	0.0001	0.0882	0.0010
TR20712-c0_g2_i1	carb	0.0000	0.0454	0.0010
TR42760-c1_g1_i1	carb	0.0000	0.0000	99.0000
TR21379-c0_g1_i1	carb	0.0034	0.0177	0.1930
TR45008-c0_g1_i1	carb	0.0000	0.0318	0.0010
TR41994-c1_g3_i2	carb	0.0002	0.1743	0.0010
TR12988-c0_g1_i1	carb	0.0000	0.0450	0.0010
TR47237-c0_g2_i1	carb	0.0020	0.0275	0.0711
TR10269-c0_g1_i1	carb	0.0169	0.0173	0.9761
TR11378-c0_g2_i1	carb	0.0000	0.0000	99.0000
TR5164-c0_g9_i1	carb	0.0278	0.0402	0.6909
TR17796-c1_g1_i1	carb	0.0000	0.0291	0.0010
TR24143-c1_g3_i3	carb	0.0001	0.0615	0.0010
TR25195-c0_g2_i3	carb	0.0000	0.0000	0.0010
TR8533-c0_g1_i1	carb	0.0000	0.0112	0.0010
TR23107-c1_g6_i1	carb	0.0000	0.0221	0.0010
TR29578-c1_g1_i2	carb	0.0000	0.0134	0.0010
TR14082-c0_g1_i1	carb	0.0000	0.0000	99.0000
TR42168-c0_g3_i1	carb	0.0113	0.0191	0.5937
TR11062-c0_g1_i1	carb	0.0000	0.0329	0.0010
TR28699-c1_g1_i1	carb	0.0000	0.0119	0.0010
TR33397-c0_g1_i1	carb	0.0000	0.0336	0.0010
