contig	species	dN	dS	dNdS
TR10581-c1_g3_i1	macro	0.0000	0.0000	0.0010
TR10584-c2_g5_i1	macro	0.0039	0.0183	0.2131
TR10619-c0_g4_i1	macro	0.0051	0.0161	0.3152
TR10636-c0_g7_i1	macro	0.0307	0.1040	0.2952
TR10638-c0_g1_i1	macro	0.0001	0.0645	0.0010
TR10670-c0_g2_i1	macro	0.0000	0.0456	0.0010
TR10697-c0_g1_i1	macro	0.0056	0.0086	0.6541
TR10706-c0_g1_i1	macro	0.0718	0.9634	0.0745
TR10716-c0_g1_i1	macro	0.0000	0.0201	0.0010
TR10721-c0_g1_i2	macro	0.0080	0.0453	0.1769
TR10735-c4_g6_i1	macro	0.0000	0.0402	0.0010
TR10735-c4_g7_i1	macro	0.0026	0.0732	0.0356
TR10738-c1_g8_i2	macro	0.0155	0.0374	0.4136
TR10753-c1_g1_i1	macro	0.1351	2.8065	0.0482
TR10753-c1_g2_i1	macro	0.0071	0.0147	0.4818
TR10787-c0_g1_i1	macro	0.0124	0.0340	0.3639
TR10827-c2_g2_i1	macro	0.0001	0.0606	0.0010
TR10835-c0_g2_i1	macro	0.0056	0.0352	0.1589
TR10845-c0_g4_i2	macro	0.0028	0.0290	0.0983
TR10852-c1_g1_i1	macro	0.0060	0.0174	0.3417
TR1088-c1_g2_i1	macro	0.0000	0.0319	0.0010
TR10894-c0_g1_i1	macro	0.0000	0.0000	14.9936
TR10907-c1_g3_i1	macro	0.0052	0.0001	99.0000
TR10928-c1_g2_i1	macro	0.0000	0.0331	0.0010
TR10960-c1_g1_i1	macro	0.0000	0.0000	0.0010
TR10980-c0_g2_i1	macro	0.0525	0.1910	0.2748
TR11042-c0_g1_i2	macro	0.0119	0.0501	0.2367
TR11049-c0_g1_i1	macro	0.0234	0.0586	0.3987
TR11059-c3_g4_i2	macro	0.0025	0.0141	0.1797
TR11068-c0_g1_i1	macro	0.0000	0.0000	1.9980
TR11069-c3_g1_i1	macro	0.0141	0.1081	0.1300
TR11071-c0_g1_i1	macro	0.0000	0.0000	2.8310
TR11082-c0_g1_i1	macro	0.0000	0.0051	0.0010
TR11103-c0_g1_i1	macro	0.0055	0.0179	0.3088
TR11123-c0_g5_i1	macro	0.0001	0.0629	0.0010
TR11138-c0_g2_i1	macro	0.0000	0.0441	0.0010
TR11142-c2_g1_i1	macro	0.0086	0.0249	0.3442
TR11186-c0_g2_i1	macro	0.0064	0.0191	0.3334
TR11209-c0_g1_i1	macro	0.0190	0.0798	0.2378
TR11209-c1_g1_i1	macro	0.0078	0.0001	99.0000
TR11212-c0_g7_i1	macro	0.0400	0.0262	1.5294
TR11222-c0_g3_i1	macro	0.0035	0.0288	0.1207
TR11224-c0_g10_i1	macro	0.0000	0.0135	0.0010
TR11245-c0_g1_i1	macro	0.0000	0.0317	0.0010
TR11258-c0_g2_i1	macro	0.0000	0.0430	0.0010
TR11288-c0_g2_i1	macro	0.0090	0.0709	0.1269
TR11310-c0_g1_i1	macro	0.0465	0.0484	0.9602
TR11339-c3_g33_i1	macro	0.0000	0.0207	0.0010
TR11343-c0_g2_i1	macro	0.0000	0.0085	0.0010
TR11367-c1_g2_i1	macro	0.0000	0.0000	0.0010
TR11400-c1_g1_i1	macro	0.0000	0.0094	0.0010
TR11430-c0_g1_i3	macro	0.0000	0.0408	0.0010
TR11445-c0_g2_i1	macro	0.0097	0.0229	0.4216
TR11456-c0_g2_i1	macro	0.0568	0.1200	0.4730
TR11465-c0_g3_i4	macro	0.0000	0.0233	0.0010
TR11474-c1_g1_i1	macro	0.0025	0.0231	0.1091
TR11474-c2_g4_i1	macro	0.0126	0.0107	1.1702
TR11474-c2_g5_i4	macro	0.0000	0.0000	0.0010
TR11481-c1_g3_i2	macro	0.0220	0.1093	0.2016
TR11485-c0_g1_i1	macro	0.0000	0.0277	0.0010
TR11520-c0_g3_i2	macro	0.0000	0.0000	99.0000
TR11521-c1_g2_i1	macro	0.0071	0.0001	99.0000
TR11554-c0_g1_i1	macro	0.0117	0.0723	0.1623
TR11596-c0_g2_i2	macro	0.0107	0.0441	0.2424
TR1164-c0_g3_i2	macro	0.0000	0.0201	0.0010
TR11667-c0_g2_i1	macro	0.0000	0.0310	0.0010
TR11674-c1_g1_i1	macro	0.0000	0.0000	1.6361
TR1167-c1_g11_i1	macro	0.0001	0.0560	0.0010
TR1167-c1_g14_i2	macro	0.0057	0.0282	0.2013
TR11688-c0_g5_i2	macro	0.0000	0.0167	0.0010
TR11714-c1_g8_i1	macro	0.0104	0.0132	0.7916
TR11717-c0_g1_i1	macro	0.0171	0.9124	0.0188
TR11765-c1_g2_i2	macro	0.0000	0.0203	0.0010
TR11765-c1_g2_i3	macro	0.0000	0.0000	99.0000
TR11765-c2_g1_i2	macro	0.0000	0.0363	0.0010
TR11778-c1_g1_i1	macro	0.0000	0.0292	0.0010
TR11794-c9_g15_i1	macro	0.0382	0.0487	0.7830
TR11807-c1_g1_i2	macro	0.0024	0.0168	0.1446
TR11835-c3_g2_i4	macro	0.0000	0.0000	0.0010
TR11837-c1_g1_i1	macro	0.0000	0.0106	0.0010
TR11843-c1_g2_i3	macro	0.0000	0.0200	0.0010
TR11848-c0_g5_i2	macro	0.0001	0.0533	0.0010
TR11857-c0_g1_i1	macro	0.0144	0.0230	0.6270
TR1185-c0_g3_i2	macro	0.1022	2.5203	0.0405
TR11872-c1_g1_i1	macro	0.0058	0.0269	0.2156
TR11882-c1_g5_i2	macro	0.0001	0.0531	0.0010
TR11886-c4_g2_i3	macro	0.0000	0.0132	0.0010
TR11900-c0_g2_i1	macro	0.0805	0.3042	0.2645
TR11901-c0_g2_i1	macro	0.0074	0.0284	0.2612
TR11903-c0_g1_i1	macro	0.0000	0.0000	0.2270
TR11908-c0_g2_i1	macro	0.0014	0.0252	0.0566
TR11910-c1_g2_i2	macro	0.0000	0.0146	0.0010
TR1191-c0_g2_i1	macro	0.0037	0.0144	0.2556
TR11929-c0_g2_i1	macro	0.0025	0.0218	0.1160
TR11964-c0_g5_i3	macro	0.0023	0.0143	0.1600
TR11970-c0_g3_i1	macro	0.0151	0.0799	0.1887
TR11974-c0_g3_i2	macro	0.0044	0.0476	0.0925
TR11981-c0_g1_i1	macro	0.0055	0.0200	0.2762
TR11984-c3_g3_i1	macro	0.0147	0.0001	99.0000
TR11984-c3_g9_i1	macro	0.0989	0.3745	0.2642
TR11986-c0_g1_i1	macro	0.0773	76.7600	0.0010
TR11998-c0_g14_i1	macro	0.0073	0.0103	0.7116
TR12003-c0_g1_i1	macro	0.0000	0.0077	0.0010
TR12007-c0_g1_i1	macro	0.0044	0.0252	0.1736
TR12025-c0_g1_i1	macro	0.0000	0.0154	0.0010
TR12039-c1_g1_i1	macro	0.0083	0.0156	0.5297
TR12039-c1_g4_i1	macro	0.0135	0.0206	0.6533
TR12071-c1_g1_i2	macro	0.0000	0.0427	0.0010
TR12082-c0_g1_i1	macro	0.0000	0.0119	0.0010
TR12083-c0_g2_i3	macro	0.0000	0.0463	0.0010
TR12089-c2_g4_i1	macro	0.0033	0.0188	0.1735
TR12117-c2_g1_i1	macro	0.0000	0.0000	0.0010
TR12175-c0_g2_i2	macro	0.0145	0.0719	0.2015
TR12195-c0_g4_i2	macro	0.0116	0.0001	99.0000
TR1220-c1_g1_i1	macro	0.0000	0.0000	0.0010
TR12235-c0_g1_i2	macro	0.0000	0.0236	0.0010
TR12269-c0_g22_i4	macro	0.0076	0.0137	0.5558
TR12269-c0_g5_i2	macro	0.0062	0.0264	0.2359
TR12269-c0_g9_i1	macro	0.0041	0.0084	0.4930
TR1226-c0_g1_i1	macro	0.0132	0.0197	0.6691
TR12280-c0_g4_i1	macro	0.0000	0.0000	0.0010
TR12281-c0_g2_i1	macro	0.0313	0.0248	1.2580
TR122-c0_g1_i2	macro	0.0000	0.0122	0.0010
TR1230-c0_g4_i1	macro	0.0064	0.0974	0.0654
TR12324-c0_g2_i1	macro	0.0000	0.0477	0.0010
TR12336-c0_g1_i1	macro	0.0000	0.0151	0.0010
TR12338-c0_g4_i2	macro	0.0091	0.0001	99.0000
TR12342-c1_g4_i1	macro	0.0072	0.0309	0.2337
TR12347-c0_g1_i1	macro	0.1478	5.9871	0.0247
TR12366-c0_g1_i2	macro	0.0154	0.0783	0.1967
TR12373-c0_g2_i1	macro	0.0000	0.0000	0.0010
TR12373-c0_g5_i1	macro	0.0001	0.1103	0.0010
TR12380-c0_g3_i1	macro	0.0000	0.0000	99.0000
TR12388-c1_g5_i1	macro	0.0000	0.0289	0.0010
TR12435-c0_g1_i1	macro	0.0000	0.0000	0.3517
TR12435-c1_g1_i1	macro	0.0204	0.0169	1.2048
TR12438-c1_g1_i1	macro	0.0270	0.0318	0.8466
TR12441-c0_g2_i2	macro	0.0141	0.0224	0.6293
TR12445-c0_g2_i1	macro	0.0000	0.0133	0.0010
TR12447-c0_g2_i1	macro	0.0000	0.0000	0.0010
TR12449-c0_g11_i3	macro	0.0839	0.1559	0.5384
TR12452-c0_g1_i1	macro	0.0000	0.0372	0.0010
TR12471-c0_g2_i1	macro	0.0000	0.0000	99.0000
TR12508-c0_g4_i1	macro	0.0000	0.0000	0.2773
TR12521-c2_g1_i1	macro	0.0000	0.0000	2.0019
TR12536-c0_g2_i1	macro	0.0042	0.0399	0.1054
TR12561-c0_g1_i1	macro	0.0000	0.0369	0.0010
TR12565-c0_g2_i1	macro	0.0000	0.0122	0.0010
TR12565-c0_g5_i2	macro	0.0000	0.0000	0.3608
TR1256-c0_g2_i2	macro	0.0077	0.0001	99.0000
TR1256-c0_g5_i1	macro	0.0136	0.0771	0.1762
TR12587-c0_g2_i2	macro	0.0000	0.0493	0.0010
TR12587-c1_g1_i1	macro	0.0001	0.0512	0.0010
TR12587-c1_g4_i1	macro	0.0000	0.0213	0.0010
TR12597-c0_g7_i1	macro	0.0000	0.0083	0.0010
TR12630-c0_g3_i3	macro	0.0092	0.0853	0.1083
TR12667-c0_g1_i1	macro	0.0000	0.0120	0.0010
TR12704-c1_g4_i4	macro	0.0000	0.0000	0.2397
TR12709-c1_g1_i1	macro	0.0000	0.0454	0.0010
TR1272-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR12730-c2_g3_i1	macro	0.0088	0.0171	0.5172
TR12735-c4_g11_i1	macro	0.0007	0.6926	0.0010
TR12738-c0_g1_i2	macro	0.0000	0.0402	0.0010
TR12755-c1_g1_i2	macro	0.0147	0.0316	0.4665
TR12759-c0_g3_i1	macro	0.0074	0.0001	99.0000
TR12766-c0_g2_i1	macro	0.0000	0.0125	0.0010
TR12785-c0_g1_i1	macro	0.0000	0.0000	0.2085
TR12787-c0_g2_i2	macro	0.0000	0.0000	0.0010
TR12849-c0_g2_i1	macro	0.0000	0.0195	0.0010
TR12888-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR12895-c12_g1_i2	macro	0.0000	0.0000	0.0010
TR12895-c13_g1_i3	macro	0.0000	0.0000	0.0010
TR12896-c0_g1_i2	macro	0.0311	0.0326	0.9522
TR1294-c0_g1_i1	macro	0.0000	0.0056	0.0010
TR12960-c1_g4_i1	macro	0.0052	0.0068	0.7637
TR12976-c0_g1_i1	macro	0.0000	0.0160	0.0010
TR12984-c0_g1_i4	macro	0.0000	0.0000	44.8419
TR12984-c0_g3_i1	macro	0.0108	0.0001	99.0000
TR12996-c0_g4_i1	macro	0.0026	0.0064	0.4028
TR12999-c0_g2_i3	macro	0.0000	0.0065	0.0010
TR13008-c0_g2_i1	macro	0.0000	0.0000	0.3696
TR13039-c0_g1_i1	macro	0.0000	0.0000	0.1413
TR13039-c0_g2_i2	macro	0.0000	0.0352	0.0010
TR13039-c1_g3_i1	macro	0.0065	0.0001	99.0000
TR13039-c1_g6_i1	macro	0.0000	0.0000	99.0000
TR13047-c0_g1_i1	macro	0.0000	0.0498	0.0010
TR13053-c1_g4_i1	macro	0.0001	0.0873	0.0010
TR13053-c1_g6_i2	macro	0.0000	0.0478	0.0010
TR13103-c0_g7_i2	macro	0.0000	0.0112	0.0010
TR13108-c1_g2_i1	macro	0.0000	0.0000	0.0010
TR13112-c0_g2_i1	macro	0.0000	0.0406	0.0010
TR13129-c5_g9_i4	macro	0.0019	0.0495	0.0390
TR1312-c0_g1_i1	macro	0.0112	0.0337	0.3328
TR13144-c1_g4_i1	macro	0.0000	0.0164	0.0010
TR13144-c1_g6_i2	macro	0.0142	0.0842	0.1683
TR13171-c1_g2_i1	macro	0.0000	0.0383	0.0010
TR13192-c0_g3_i2	macro	0.0073	0.0461	0.1575
TR1319-c0_g1_i3	macro	0.0000	0.0365	0.0010
TR131-c0_g1_i1	macro	0.0000	0.0164	0.0010
TR13222-c0_g1_i1	macro	0.0054	0.0638	0.0852
TR13222-c0_g3_i1	macro	0.0000	0.0000	1.9558
TR13222-c1_g1_i1	macro	0.0000	0.0104	0.0010
TR1322-c0_g2_i1	macro	0.0029	0.0000	99.0000
TR13231-c1_g1_i1	macro	0.0000	0.0000	0.2181
TR13241-c1_g12_i1	macro	0.0067	0.0253	0.2659
TR13241-c1_g6_i1	macro	0.0000	0.0000	0.0010
TR13250-c2_g1_i1	macro	0.0000	0.0167	0.0010
TR13253-c0_g3_i1	macro	0.0000	0.0290	0.0010
TR13255-c0_g2_i1	macro	0.0030	0.0000	99.0000
TR13267-c1_g4_i1	macro	0.0000	0.0126	0.0010
TR13268-c1_g1_i1	macro	0.0043	0.0829	0.0517
TR13285-c1_g1_i1	macro	0.0081	0.0287	0.2807
TR13298-c0_g1_i1	macro	0.0000	0.0000	3.1099
TR13299-c0_g2_i1	macro	0.0000	0.0132	0.0010
TR132-c0_g1_i1	macro	0.0000	0.0374	0.0010
TR13319-c14_g3_i1	macro	0.0001	0.1282	0.0010
TR13319-c9_g1_i1	macro	0.0001	0.0629	0.0010
TR13380-c0_g3_i1	macro	0.0001	0.0539	0.0010
TR1338-c1_g11_i1	macro	0.0001	0.0710	0.0010
TR1338-c1_g4_i1	macro	0.0000	0.0000	0.3483
TR1338-c1_g6_i2	macro	0.0000	0.0325	0.0010
TR13390-c2_g2_i1	macro	0.0000	0.0123	0.0010
TR13396-c0_g1_i1	macro	0.0001	0.0563	0.0010
TR13398-c1_g1_i1	macro	0.0042	0.0269	0.1548
TR13399-c0_g1_i1	macro	0.0023	0.0416	0.0562
TR13409-c0_g6_i1	macro	0.0045	0.0427	0.1064
TR13410-c1_g1_i1	macro	0.0044	0.0199	0.2206
TR13432-c0_g2_i1	macro	0.0088	0.0282	0.3120
TR13436-c1_g2_i1	macro	0.0000	0.0000	0.0010
TR13440-c0_g2_i2	macro	0.0091	0.0587	0.1545
TR13451-c0_g3_i1	macro	0.0000	0.0071	0.0010
TR13453-c3_g3_i1	macro	0.0000	0.0073	0.0010
TR13460-c0_g1_i1	macro	0.0016	0.0244	0.0654
TR1346-c3_g6_i1	macro	0.0044	0.0426	0.1040
TR1346-c3_g7_i1	macro	0.0000	0.0134	0.0010
TR13472-c1_g1_i1	macro	0.0001	0.0541	0.0010
TR13474-c0_g6_i2	macro	0.0000	0.0394	0.0010
TR13499-c0_g2_i2	macro	0.0073	0.0281	0.2588
TR13546-c0_g2_i1	macro	0.0023	0.0431	0.0542
TR13549-c0_g3_i2	macro	0.0023	0.0426	0.0542
TR13549-c1_g7_i1	macro	0.0049	0.0336	0.1465
TR13550-c0_g1_i1	macro	0.0027	0.1014	0.0267
TR13562-c0_g13_i1	macro	0.0113	0.1258	0.0901
TR13577-c0_g1_i1	macro	0.0032	0.0181	0.1798
TR13584-c1_g3_i1	macro	0.0000	0.0280	0.0010
TR13611-c0_g2_i1	macro	0.0001	0.0714	0.0010
TR13676-c0_g1_i1	macro	0.0049	0.0202	0.2422
TR13729-c0_g1_i2	macro	0.0001	0.0605	0.0010
TR1373-c0_g1_i1	macro	0.0000	0.0125	0.0010
TR13745-c0_g4_i1	macro	0.0001	0.0557	0.0010
TR1374-c0_g1_i1	macro	0.0000	0.0143	0.0010
TR13760-c3_g2_i1	macro	0.0017	0.0443	0.0373
TR13760-c9_g1_i1	macro	0.0099	0.0369	0.2676
TR13763-c1_g1_i9	macro	0.0128	0.0922	0.1386
TR13795-c0_g2_i1	macro	0.0000	0.0000	1.7683
TR1379-c0_g1_i7	macro	0.0001	0.1221	0.0010
TR13812-c0_g1_i1	macro	0.0000	0.0381	0.0010
TR13816-c1_g2_i1	macro	0.0000	0.0360	0.0010
TR13818-c0_g3_i3	macro	0.0045	0.0217	0.2066
TR13818-c0_g6_i1	macro	0.0068	0.0001	99.0000
TR13849-c0_g2_i1	macro	0.0000	0.0181	0.0010
TR13872-c1_g2_i2	macro	0.0401	0.0879	0.4562
TR13886-c1_g4_i1	macro	0.0001	0.0734	0.0010
TR13886-c2_g15_i3	macro	0.0149	0.0309	0.4818
TR13898-c0_g2_i1	macro	0.0000	0.0000	99.0000
TR13903-c1_g3_i1	macro	0.1290	68.1007	0.0019
TR13934-c0_g1_i1	macro	0.0028	0.0000	99.0000
TR1397-c0_g1_i1	macro	0.0000	0.0147	0.0010
TR13992-c1_g1_i1	macro	0.0000	0.0372	0.0010
TR13997-c1_g2_i1	macro	0.0061	0.0222	0.2732
TR13999-c5_g1_i2	macro	0.0000	0.0000	0.0515
TR14044-c0_g1_i1	macro	0.0001	0.0537	0.0010
TR14053-c0_g2_i1	macro	0.0000	0.0000	0.0010
TR14061-c0_g1_i1	macro	0.0040	0.0505	0.0792
TR14069-c0_g1_i1	macro	0.0000	0.0220	0.0010
TR1406-c0_g4_i1	macro	0.0096	0.0001	99.0000
TR14086-c1_g2_i1	macro	0.0046	0.0252	0.1841
TR14089-c0_g1_i1	macro	0.0001	0.0722	0.0010
TR14127-c1_g1_i1	macro	0.0086	0.0152	0.5691
TR14131-c0_g1_i1	macro	0.0030	0.0237	0.1286
TR14144-c0_g4_i1	macro	0.0000	0.0169	0.0010
TR14171-c0_g3_i2	macro	0.0034	0.0075	0.4547
TR14194-c2_g3_i2	macro	0.0038	0.0063	0.5971
TR14204-c0_g2_i1	macro	0.1144	54.8741	0.0021
TR14216-c0_g1_i2	macro	0.0000	0.0486	0.0010
TR14216-c0_g2_i1	macro	0.0000	0.0237	0.0010
TR14216-c0_g7_i1	macro	0.0000	0.0292	0.0010
TR14221-c0_g2_i1	macro	0.0001	0.0548	0.0010
TR14231-c0_g1_i1	macro	0.0000	0.0000	0.1905
TR14234-c0_g2_i1	macro	0.0000	0.0201	0.0010
TR14235-c4_g7_i1	macro	0.0000	0.0000	0.0010
TR14237-c0_g1_i1	macro	0.0000	0.0226	0.0010
TR14247-c0_g1_i1	macro	0.0072	0.0406	0.1769
TR14263-c7_g2_i1	macro	0.0715	0.0957	0.7476
TR14263-c7_g3_i1	macro	0.0143	0.0562	0.2544
TR14264-c0_g1_i1	macro	0.0000	0.0176	0.0010
TR14290-c0_g1_i1	macro	0.0001	0.0625	0.0010
TR14293-c0_g2_i1	macro	0.0000	0.0149	0.0010
TR14293-c1_g1_i2	macro	0.0154	0.0282	0.5453
TR14293-c2_g2_i1	macro	0.0000	0.0221	0.0010
TR14300-c0_g4_i2	macro	0.0000	0.0303	0.0010
TR14316-c0_g2_i1	macro	0.0000	0.0000	0.1969
TR14336-c0_g4_i1	macro	0.0093	0.0201	0.4648
TR14389-c0_g2_i1	macro	0.0000	0.0090	0.0010
TR14391-c1_g1_i2	macro	0.0030	0.0214	0.1398
TR1445-c0_g1_i1	macro	0.0000	0.0255	0.0010
TR14462-c0_g1_i2	macro	0.0067	0.0534	0.1246
TR14468-c1_g16_i1	macro	0.0139	0.0001	99.0000
TR14495-c0_g3_i1	macro	0.0131	0.0432	0.3025
TR14501-c0_g1_i1	macro	0.0001	0.0656	0.0010
TR14503-c1_g2_i3	macro	0.0083	0.0211	0.3953
TR14529-c0_g2_i1	macro	0.0093	0.0229	0.4041
TR14533-c0_g1_i1	macro	0.0528	0.0395	1.3346
TR14535-c0_g1_i1	macro	0.0000	0.0028	0.0010
TR14537-c0_g1_i1	macro	0.0000	0.0278	0.0010
TR14541-c10_g5_i2	macro	0.1111	0.1302	0.8528
TR14550-c0_g1_i1	macro	0.0001	0.1388	0.0010
TR14570-c1_g1_i1	macro	0.0000	0.0412	0.0010
TR14588-c0_g2_i1	macro	0.0000	0.0086	0.0010
TR14594-c0_g2_i1	macro	0.0000	0.0183	0.0010
TR14596-c1_g1_i2	macro	0.0001	0.0735	0.0010
TR1459-c0_g1_i1	macro	0.0000	0.0064	0.0010
TR14604-c7_g5_i13	macro	0.1412	0.1524	0.9261
TR14612-c1_g2_i1	macro	0.0096	0.0429	0.2242
TR14641-c0_g1_i1	macro	0.0327	0.1066	0.3072
TR14696-c0_g1_i1	macro	0.0000	0.0249	0.0010
TR14721-c0_g1_i1	macro	0.0000	0.0099	0.0010
TR14740-c1_g4_i2	macro	0.0000	0.0000	0.0010
TR14748-c1_g7_i1	macro	0.0091	0.0001	99.0000
TR14749-c2_g2_i1	macro	0.0160	0.0397	0.4038
TR14755-c0_g3_i3	macro	0.0044	0.0265	0.1673
TR14787-c1_g1_i1	macro	0.0001	0.0679	0.0010
TR14829-c0_g1_i1	macro	0.0907	0.2042	0.4439
TR14836-c0_g1_i1	macro	0.0044	0.0000	99.0000
TR14863-c0_g2_i3	macro	0.0017	0.0340	0.0508
TR14871-c0_g1_i1	macro	0.0095	0.0316	0.3022
TR14881-c0_g7_i1	macro	0.0000	0.0223	0.0010
TR14920-c3_g2_i1	macro	0.0367	0.0630	0.5831
TR14958-c1_g1_i1	macro	0.0000	0.0000	99.0000
TR14991-c0_g1_i1	macro	0.0000	0.0486	0.0010
TR14997-c0_g2_i1	macro	0.0000	0.0000	0.0010
TR14997-c0_g2_i2	macro	0.0000	0.0000	0.0010
TR15004-c0_g1_i1	macro	0.0069	0.0435	0.1595
TR15043-c0_g1_i1	macro	0.0049	0.0508	0.0972
TR15053-c1_g1_i2	macro	0.0000	0.0092	0.0010
TR15053-c4_g2_i2	macro	0.0068	0.0231	0.2938
TR15062-c2_g1_i4	macro	0.0000	0.0135	0.0010
TR15102-c1_g4_i3	macro	0.0147	0.0355	0.4145
TR15104-c0_g1_i3	macro	0.0000	0.0154	0.0010
TR15105-c1_g1_i1	macro	0.0131	0.0258	0.5081
TR15114-c0_g1_i1	macro	0.0000	0.0376	0.0010
TR1511-c0_g3_i3	macro	0.0000	0.0000	0.1030
TR15127-c2_g1_i1	macro	0.0000	0.0123	0.0010
TR15127-c3_g9_i1	macro	0.0025	0.0211	0.1182
TR15141-c0_g1_i1	macro	0.0000	0.0162	0.0010
TR15150-c0_g2_i1	macro	0.0000	0.0443	0.0010
TR15175-c0_g1_i1	macro	0.0000	0.0417	0.0010
TR15200-c0_g2_i1	macro	0.0000	0.0095	0.0010
TR15216-c4_g4_i1	macro	0.0000	0.0117	0.0010
TR15216-c4_g5_i2	macro	0.0532	0.0752	0.7078
TR15238-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR15238-c0_g3_i1	macro	0.0000	0.0000	0.0010
TR15239-c0_g2_i1	macro	0.0000	0.0000	0.5491
TR15267-c0_g1_i1	macro	0.0001	0.0751	0.0010
TR15289-c0_g1_i2	macro	0.0000	0.0291	0.0010
TR15306-c1_g1_i1	macro	0.0000	0.0489	0.0010
TR15306-c2_g1_i1	macro	0.0000	0.0000	0.9810
TR15313-c1_g1_i1	macro	0.0000	0.0000	0.0010
TR15330-c0_g3_i2	macro	0.0076	0.0174	0.4374
TR1537-c3_g3_i1	macro	0.0832	43.0746	0.0019
TR1537-c4_g1_i1	macro	0.0001	0.0882	0.0010
TR1537-c5_g2_i1	macro	0.0000	0.0454	0.0010
TR15404-c1_g6_i1	macro	0.0000	0.0000	99.0000
TR15438-c0_g3_i1	macro	0.0034	0.0177	0.1930
TR15465-c0_g1_i1	macro	0.0000	0.0318	0.0010
TR15474-c3_g3_i1	macro	0.0002	0.1743	0.0010
TR15481-c0_g1_i2	macro	0.0000	0.0450	0.0010
TR15488-c0_g1_i1	macro	0.0020	0.0275	0.0711
TR1548-c0_g1_i1	macro	0.0169	0.0173	0.9761
TR15515-c0_g1_i2	macro	0.0000	0.0000	99.0000
TR15517-c3_g10_i2	macro	0.0278	0.0402	0.6909
TR15537-c0_g1_i1	macro	0.0000	0.0291	0.0010
TR15541-c0_g2_i1	macro	0.0001	0.0615	0.0010
TR15558-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR15561-c0_g2_i2	macro	0.0000	0.0112	0.0010
TR15564-c0_g4_i1	macro	0.0000	0.0221	0.0010
TR15568-c0_g3_i2	macro	0.0000	0.0134	0.0010
TR15658-c0_g1_i1	macro	0.0000	0.0000	99.0000
TR15674-c1_g1_i1	macro	0.0113	0.0191	0.5937
TR15684-c1_g1_i1	macro	0.0000	0.0329	0.0010
TR15724-c0_g1_i1	macro	0.0000	0.0119	0.0010
TR15743-c0_g2_i1	macro	0.0000	0.0336	0.0010
