contig	species	dN	dS	dNdS	class
TR33917-c3_g2_i1	flav	0.0842	0.228	0.3694	3
TR34401-c0_g1_i1	flav	0.0704	0.2001	0.3519	3
TR35050-c0_g3_i1	flav	2e-04	0.1612	0.001	3
TR35951-c1_g1_i4	flav	0.1619	15.3681	0.0105	3
TR36360-c2_g15_i1	flav	0.1342	0.3528	0.3804	3
TR36702-c0_g2_i1	flav	0.1833	3.6397	0.0503	3
TR36952-c0_g2_i1	flav	0.0377	2.245	0.0168	3
TR37193-c1_g1_i1	flav	0.0582	0.1514	0.3842	3
TR37234-c1_g3_i1	flav	0.2013	2.1091	0.0954	3
TR37456-c0_g1_i1	flav	0.0486	0.1924	0.2525	3
TR37651-c1_g4_i1	flav	0.0497	1.0804	0.046	3
TR37808-c0_g1_i1	flav	0.0606	3.7992	0.0159	3
TR37887-c0_g2_i1	flav	0.2356	0.9146	0.2576	3
TR38036-c0_g5_i1	flav	0.0094	9.3927	0.001	3
TR38194-c0_g3_i1	flav	0.0308	1.0937	0.0282	3
TR39202-c1_g1_i1	flav	0.1298	3.0187	0.043	3
TR39696-c0_g2_i1	flav	0.0526	0.1665	0.3158	3
TR3987-c0_g1_i3	flav	0.0297	0.1505	0.1974	3
TR39902-c1_g6_i1	flav	0.1402	57.4247	0.0024	3
TR40156-c0_g1_i1	flav	0.0226	4.2155	0.0054	3
TR40156-c0_g6_i6	flav	0.021	1.53	0.0137	3
TR40350-c0_g1_i1	flav	0.0193	1.7996	0.0107	3
TR40352-c0_g1_i1	flav	0.0063	0.2493	0.0251	3
TR405-c0_g3_i1	flav	0.0754	7.8411	0.0096	3
TR40715-c0_g1_i1	flav	2e-04	0.1607	0.001	3
TR40869-c285_g1_i1	flav	0.0433	0.2794	0.155	3
TR41323-c0_g2_i1	flav	0.0411	0.1881	0.2187	3
TR41618-c0_g1_i1	flav	0.0355	1.975	0.018	3
TR4166-c0_g1_i1	flav	0.0056	1.323	0.0042	3
TR42161-c0_g1_i6	flav	0.0594	7.7294	0.0077	3
TR42271-c0_g2_i1	flav	0.0255	3.2637	0.0078	3
TR42526-c7_g3_i1	flav	0.028	0.4985	0.0562	3
TR42637-c0_g1_i1	flav	2e-04	0.1686	0.001	3
TR43981-c0_g2_i1	flav	0.0012	1.1667	0.001	3
TR44120-c1_g1_i3	flav	0.1439	2.4547	0.0586	3
TR44817-c1_g1_i1	flav	0.1299	2.8408	0.0457	3
TR45012-c0_g1_i1	flav	2e-04	0.2176	0.001	3
TR45089-c1_g8_i1	flav	0.0201	0.1665	0.1209	3
TR45136-c2_g1_i1	flav	0.0531	0.1523	0.3486	3
TR45559-c0_g4_i1	flav	0.1547	0.2982	0.5189	3
TR45769-c0_g4_i1	flav	0.0543	0.2461	0.2205	3
TR4653-c3_g1_i1	flav	7e-04	0.6883	0.001	3
TR46784-c0_g2_i1	flav	0.0354	0.2057	0.1722	3
TR46816-c0_g2_i1	flav	0.1785	0.413	0.4323	3
TR47518-c0_g3_i2	flav	0.0395	0.2843	0.1391	3
TR47534-c0_g1_i1	flav	0.0294	1.9356	0.0152	3
TR47726-c1_g5_i2	flav	0.0922	5.3596	0.0172	3
TR48590-c0_g1_i1	flav	0.083	0.1675	0.4952	3
TR48684-c0_g1_i1	flav	0.072	0.227	0.3169	3
TR50927-c2_g3_i9	flav	0.0568	4.1376	0.0137	3
TR51044-c2_g1_i1	flav	0.0561	56.1184	0.001	3
TR51121-c0_g2_i1	flav	0.1899	2.5534	0.0744	3
TR5112-c0_g4_i1	flav	0.0234	22.0363	0.0011	3
TR5136-c0_g1_i1	flav	0.0683	0.1872	0.3651	3
TR51633-c0_g3_i1	flav	0.072	2.3826	0.0302	3
TR53453-c3_g13_i3	flav	0.0315	0.1965	0.1601	3
TR54551-c2_g6_i1	flav	0.0937	0.1899	0.4932	3
TR54821-c0_g1_i1	flav	0.0212	0.1522	0.1393	3
TR56029-c0_g1_i1	flav	0.1344	0.2573	0.5224	3
TR56564-c0_g2_i1	flav	0.0217	2.9765	0.0073	3
TR56927-c0_g1_i1	flav	0.1429	68.2257	0.0021	3
TR57609-c7_g1_i1	flav	0.0595	3.38	0.0176	3
TR57640-c0_g4_i2	flav	0.0472	47.1733	0.001	3
TR57640-c0_g7_i8	flav	0.0697	8.5377	0.0082	3
TR57944-c0_g1_i1	flav	0.0277	2.2193	0.0125	3
TR58111-c1_g1_i1	flav	0.0735	2.4593	0.0299	3
TR58492-c0_g1_i2	flav	0.1079	0.1803	0.5986	3
TR59269-c0_g5_i4	flav	0.1263	2.5956	0.0487	3
TR59397-c1_g1_i1	flav	0.0816	6.6926	0.0122	3
TR59562-c0_g1_i1	flav	0.136	71.8713	0.0019	3
TR60302-c0_g1_i1	flav	0.0689	20.2764	0.0034	3
TR60580-c0_g4_i1	flav	0.0439	0.1941	0.2263	3
TR60971-c0_g1_i1	flav	0.0234	9.4761	0.0025	3
TR61277-c2_g8_i1	flav	0.043	9.6093	0.0045	3
TR6130-c2_g1_i1	flav	0.0346	0.2195	0.1575	3
TR61586-c3_g2_i1	flav	0.0891	1.5746	0.0566	3
TR61653-c0_g1_i1	flav	0.0183	0.2038	0.09	3
TR6762-c0_g1_i1	flav	2e-04	0.1671	0.001	3
TR6786-c2_g1_i1	flav	0.0935	4.3332	0.0216	3
TR7080-c0_g2_i1	flav	0.0096	2.84	0.0034	3
TR7495-c2_g4_i1	flav	0.0376	10.7346	0.0035	3
TR7831-c2_g1_i2	flav	0.0068	0.383	0.0176	3
TR7902-c1_g2_i1	flav	0.0652	1.9734	0.033	3
TR8131-c1_g1_i1	flav	0.0947	6.1221	0.0155	3
TR843-c0_g1_i1	flav	0.104	14.0273	0.0074	3
TR8963-c0_g1_i1	flav	0.1176	26.9523	0.0044	3
TR9134-c0_g1_i1	flav	0.0415	41.4725	0.001	3
TR9806-c0_g9_i1	flav	0.0507	2.1047	0.0241	3
TR9815-c5_g2_i4	flav	0.0302	2.4405	0.0124	3
TR10096-c3_g14_i4	macro	0.066	0.1577	0.4186	3
TR10374-c2_g1_i1	macro	0.1024	1.9277	0.0531	3
TR10706-c0_g1_i1	macro	0.0718	0.9634	0.0745	3
TR10753-c1_g1_i1	macro	0.1351	2.8065	0.0482	3
TR10980-c0_g2_i1	macro	0.0525	0.191	0.2748	3
TR11717-c0_g1_i1	macro	0.0171	0.9124	0.0188	3
TR1185-c0_g3_i2	macro	0.1022	2.5203	0.0405	3
TR11900-c0_g2_i1	macro	0.0805	0.3042	0.2645	3
TR11984-c3_g9_i1	macro	0.0989	0.3745	0.2642	3
TR11986-c0_g1_i1	macro	0.0773	76.76	0.001	3
TR12347-c0_g1_i1	macro	0.1478	5.9871	0.0247	3
TR12449-c0_g11_i3	macro	0.0839	0.1559	0.5384	3
TR12735-c4_g11_i1	macro	7e-04	0.6926	0.001	3
TR13903-c1_g3_i1	macro	0.129	68.1007	0.0019	3
TR14204-c0_g2_i1	macro	0.1144	54.8741	0.0021	3
TR14604-c7_g5_i13	macro	0.1412	0.1524	0.9261	3
TR14829-c0_g1_i1	macro	0.0907	0.2042	0.4439	3
TR1537-c3_g3_i1	macro	0.0832	43.0746	0.0019	3
TR15474-c3_g3_i1	macro	2e-04	0.1743	0.001	3
TR15918-c0_g1_i1	macro	0.1551	3.0777	0.0504	3
TR16273-c0_g1_i1	macro	0.0941	17.6364	0.0053	3
TR16644-c0_g1_i2	macro	0.0201	4.7966	0.0042	3
TR17023-c2_g6_i1	macro	0.1013	0.2567	0.3945	3
TR17218-c0_g1_i1	macro	0.0342	1.4751	0.0232	3
TR17407-c1_g2_i1	macro	0.0848	0.4711	0.18	3
TR17680-c1_g6_i4	macro	0.0168	1.2565	0.0133	3
TR17714-c0_g1_i1	macro	0.0669	22.6411	0.003	3
TR17835-c0_g1_i1	macro	0.0647	2.4081	0.0269	3
TR1811-c0_g2_i2	macro	0.0404	0.2203	0.1836	3
TR18760-c0_g1_i1	macro	0.0673	67.3003	0.001	3
TR18958-c0_g1_i1	macro	0.0156	0.2206	0.0709	3
TR19132-c0_g1_i1	macro	0.0715	3.0927	0.0231	3
TR19514-c0_g6_i3	macro	0.028	6.4813	0.0043	3
TR19578-c1_g3_i1	macro	0.0036	1.6671	0.0022	3
TR19616-c0_g1_i1	macro	0.0607	0.1727	0.3515	3
TR19656-c0_g2_i2	macro	2e-04	0.2255	0.001	3
TR19840-c0_g1_i1	macro	0.0585	1.8481	0.0317	3
TR20089-c3_g2_i2	macro	2e-04	0.2124	0.001	3
TR20344-c0_g1_i1	macro	0.0673	2.3544	0.0286	3
TR20474-c0_g4_i2	macro	0.0451	2.2585	0.02	3
TR21389-c0_g2_i1	macro	0.0762	0.2063	0.3695	3
TR22059-c1_g4_i1	macro	0.1062	2.3396	0.0454	3
TR22153-c5_g10_i1	macro	0.0176	0.351	0.0502	3
TR22525-c2_g2_i1	macro	0.0228	22.7634	0.001	3
TR22620-c5_g1_i1	macro	0.1424	0.3248	0.4386	3
TR22669-c0_g1_i1	macro	0.0179	17.8786	0.001	3
TR22919-c0_g1_i1	macro	0.1239	24.4719	0.0051	3
TR23452-c1_g2_i1	macro	0.0048	0.4235	0.0114	3
TR23500-c0_g1_i1	macro	0.1668	90.6155	0.0018	3
TR24948-c0_g1_i1	macro	0.1425	0.1904	0.7485	3
TR25156-c0_g1_i1	macro	0.0899	0.4803	0.1872	3
TR25653-c1_g2_i2	macro	0.0817	0.2096	0.3896	3
TR25752-c1_g1_i1	macro	0.0656	0.2016	0.3252	3
TR2590-c4_g1_i1	macro	0.0505	0.2723	0.1855	3
TR25920-c0_g1_i3	macro	0.039	0.1804	0.2161	3
TR25924-c3_g2_i1	macro	0.1331	0.25	0.5323	3
TR25945-c0_g2_i1	macro	0.0568	1.1032	0.0515	3
TR25954-c0_g1_i1	macro	0.1736	28.0988	0.0062	3
TR26117-c2_g7_i1	macro	0.0355	0.1722	0.2064	3
TR26466-c1_g1_i1	macro	0.0813	38.8317	0.0021	3
TR26523-c0_g3_i2	macro	0.0323	0.1992	0.1622	3
TR26584-c1_g2_i4	macro	0.0907	0.1958	0.4634	3
TR27016-c5_g9_i5	macro	0.1741	0.2912	0.5977	3
TR27350-c0_g3_i1	macro	0.0402	9.9758	0.004	3
TR2746-c0_g3_i1	macro	0.0765	2.4923	0.0307	3
TR27654-c0_g1_i1	macro	0.1422	70.7958	0.002	3
TR27731-c1_g2_i1	macro	0.0395	18.0694	0.0022	3
TR2784-c1_g1_i1	macro	0.1337	24.8832	0.0054	3
TR27918-c0_g2_i1	macro	0.0067	0.2336	0.0288	3
TR27943-c0_g1_i1	macro	0.0623	2.5066	0.0249	3
TR29111-c1_g1_i1	macro	0.1178	39.0025	0.003	3
TR29317-c0_g1_i1	macro	0.0774	0.999	0.0775	3
TR29363-c1_g1_i1	macro	0.0173	3.1666	0.0055	3
TR29700-c1_g1_i1	macro	0.061	0.2468	0.2472	3
TR29862-c0_g5_i1	macro	0.1607	0.1666	0.9651	3
TR30353-c0_g1_i1	macro	0.1013	0.2212	0.4579	3
TR30793-c0_g1_i1	macro	0.0817	2.5525	0.032	3
TR31045-c0_g1_i1	macro	0.1078	0.4842	0.2227	3
TR31045-c1_g1_i1	macro	0.0357	0.1557	0.2291	3
TR31152-c0_g4_i1	macro	0.1948	2.7373	0.0712	3
TR31299-c1_g2_i6	macro	2e-04	0.1949	0.001	3
TR31367-c0_g1_i1	macro	0.1014	0.2078	0.4877	3
TR31662-c0_g1_i1	macro	0.0859	4.892	0.0176	3
TR32010-c0_g2_i1	macro	0.0034	0.1593	0.0212	3
TR3206-c3_g11_i1	macro	0.1144	0.3066	0.3731	3
TR32804-c0_g1_i1	macro	0.1299	0.1832	0.7089	3
TR32988-c0_g1_i1	macro	0.0993	0.1597	0.6218	3
TR33316-c0_g1_i1	macro	0.0847	1.8264	0.0464	3
TR33614-c0_g2_i1	macro	0.1248	0.293	0.426	3
TR33917-c3_g2_i1	macro	0.1078	0.1969	0.5477	3
TR34118-c0_g1_i1	macro	0.047	0.1735	0.2709	3
TR34238-c0_g1_i1	macro	0.0141	3.3014	0.0043	3
TR34613-c1_g1_i1	macro	9e-04	0.315	0.0029	3
TR34628-c6_g2_i4	macro	0.1218	0.2528	0.4818	3
TR34770-c1_g4_i1	macro	0.0407	15.9974	0.0025	3
TR35323-c1_g1_i1	macro	0.2992	0.2438	1.2274	3
TR35562-c1_g3_i1	macro	0.0142	14.1555	0.001	3
TR35628-c0_g5_i3	macro	0.0693	0.1518	0.4567	3
TR35713-c1_g1_i2	macro	0.1056	2.9961	0.0352	3
TR35729-c0_g1_i1	macro	0.0848	10.2837	0.0082	3
TR35907-c0_g2_i1	macro	0.0091	9.0931	0.001	3
TR36360-c2_g15_i1	macro	0.1941	0.4709	0.4123	3
TR36702-c0_g2_i1	macro	0.146	4.6113	0.0317	3
TR370-c1_g15_i1	macro	0.1404	2.6092	0.0538	3
TR37135-c0_g1_i1	macro	0.1153	67.0981	0.0017	3
TR37456-c0_g1_i1	macro	0.0613	0.1942	0.3156	3
TR37651-c1_g4_i1	macro	0.062	1.0809	0.0574	3
TR37808-c0_g1_i1	macro	0.0606	3.7989	0.0159	3
TR38036-c0_g5_i1	macro	0.0101	10.1144	0.001	3
TR38103-c0_g1_i1	macro	0.0104	1.6256	0.0064	3
TR38215-c0_g1_i3	macro	0.1252	0.4855	0.2579	3
TR38356-c0_g2_i1	macro	0.11	26.3967	0.0042	3
TR40350-c0_g1_i1	macro	0.0192	1.7401	0.011	3
TR405-c0_g3_i1	macro	0.0647	7.8134	0.0083	3
TR40869-c285_g1_i1	macro	0.0433	0.2794	0.155	3
TR41041-c5_g2_i1	macro	0.0907	2.6151	0.0347	3
TR41182-c1_g1_i1	macro	0.0129	2.2789	0.0057	3
TR41313-c2_g2_i2	macro	0.0506	1.7337	0.0292	3
TR41323-c0_g2_i1	macro	0.0472	0.169	0.2791	3
TR41507-c0_g2_i1	macro	0.1137	1.9249	0.0591	3
TR41618-c0_g1_i1	macro	0.0455	1.5795	0.0288	3
TR4166-c0_g1_i1	macro	0.0055	1.4705	0.0038	3
TR42161-c0_g1_i6	macro	0.0464	5.2653	0.0088	3
TR42441-c0_g1_i1	macro	0.0754	6.6341	0.0114	3
TR42650-c1_g2_i1	macro	0.0324	32.3921	0.001	3
TR42914-c0_g1_i1	macro	0.082	70.7194	0.0012	3
TR43022-c0_g5_i2	macro	0.0444	0.1841	0.2412	3
TR43627-c0_g1_i1	macro	0.0621	2.1977	0.0282	3
TR43971-c0_g2_i1	macro	0.0188	0.1788	0.1052	3
TR43981-c0_g2_i1	macro	0.0011	1.1397	0.001	3
TR44120-c1_g1_i3	macro	0.1444	2.382	0.0606	3
TR45012-c0_g1_i1	macro	0.0097	0.1546	0.0629	3
TR45089-c1_g8_i1	macro	0.0204	0.1834	0.1111	3
TR45730-c2_g2_i1	macro	0.0858	1.8007	0.0476	3
TR45769-c0_g4_i1	macro	0.0504	0.1891	0.2665	3
TR4602-c0_g1_i1	macro	0.0205	0.2119	0.0967	3
TR46784-c0_g2_i1	macro	0.0827	0.3043	0.2716	3
TR47534-c0_g1_i1	macro	0.0294	1.9356	0.0152	3
TR48299-c2_g3_i2	macro	2e-04	0.2106	0.001	3
TR48590-c0_g1_i1	macro	0.083	0.1675	0.4952	3
TR48684-c0_g1_i1	macro	0.0712	0.2392	0.2977	3
TR50187-c0_g2_i1	macro	0.1013	67.6811	0.0015	3
TR50661-c0_g3_i1	macro	0.0108	0.1848	0.0584	3
TR50927-c2_g3_i9	macro	0.0598	3.4345	0.0174	3
TR5112-c0_g4_i1	macro	0.0251	4.8411	0.0052	3
TR51720-c0_g2_i1	macro	0.0405	0.166	0.2441	3
TR52487-c0_g1_i1	macro	0.1473	2.4524	0.0601	3
TR52876-c2_g1_i1	macro	0.1195	1.471	0.0813	3
TR53453-c3_g13_i3	macro	0.0193	0.2022	0.0956	3
TR53509-c1_g1_i2	macro	0.1579	4.1347	0.0382	3
TR53509-c1_g2_i1	macro	0.1036	28.7888	0.0036	3
TR54427-c0_g5_i2	macro	0.0076	0.1587	0.048	3
TR54501-c1_g4_i3	macro	0.063	4.6971	0.0134	3
TR54655-c0_g9_i3	macro	0.0131	1.9224	0.0068	3
TR54856-c2_g3_i1	macro	0.0385	38.4777	0.001	3
TR55645-c7_g2_i2	macro	0.0314	3.2495	0.0097	3
TR55645-c7_g3_i1	macro	0.0804	1.7039	0.0472	3
TR57740-c0_g1_i1	macro	0.0472	20.7697	0.0023	3
TR57944-c0_g1_i1	macro	0.0187	2.3681	0.0079	3
TR58327-c0_g7_i1	macro	0.0041	0.1717	0.0238	3
TR5894-c2_g21_i2	macro	0.0467	6.4018	0.0073	3
TR59556-c0_g1_i1	macro	0.1171	0.1875	0.6244	3
TR59562-c0_g1_i1	macro	0.136	65.2584	0.0021	3
TR60302-c0_g1_i1	macro	0.0688	22.059	0.0031	3
TR60830-c1_g5_i3	macro	0.1563	0.4496	0.3478	3
TR60951-c1_g9_i1	macro	0.0634	0.1583	0.4003	3
TR6095-c0_g2_i1	macro	0.1185	2.3807	0.0498	3
TR60971-c0_g1_i1	macro	0.0236	9.4032	0.0025	3
TR61653-c0_g1_i1	macro	0.0476	0.403	0.118	3
TR6592-c0_g2_i1	macro	0.098	1.6508	0.0593	3
TR6673-c0_g4_i1	macro	0.0797	0.1946	0.4096	3
TR6762-c0_g1_i1	macro	0.0122	0.2089	0.0586	3
TR682-c0_g2_i1	macro	0.0246	0.3256	0.0756	3
TR772-c1_g8_i1	macro	0.0895	5.2173	0.0172	3
TR7902-c1_g2_i1	macro	0.0651	1.9845	0.0328	3
TR8318-c0_g1_i2	macro	0.1166	0.2341	0.4981	3
TR8361-c1_g2_i3	macro	0.0876	0.1542	0.5682	3
TR843-c0_g1_i1	macro	0.104	13.5981	0.0076	3
TR9134-c0_g1_i1	macro	0.0462	10.0963	0.0046	3
TR9417-c0_g6_i1	macro	0.6079	0.4067	1.4947	3
TR9815-c5_g2_i4	macro	0.001	0.9753	0.001	3
TR9862-c3_g8_i5	macro	0.0277	0.1607	0.1725	3
TR9866-c0_g4_i2	macro	0.048	2.8394	0.0169	3
