contig	species	dN	dS	dNdS
TR31985-c3_g22_i1	carb	0.0405	0.0861	0.4706
TR16669-c1_g2_i1	carb	0.0023	0.0201	0.1147
TR5312-c1_g2_i1	carb	0.0000	0.0000	0.0010
TR24782-c0_g2_i2	carb	0.0000	0.0106	0.0010
TR9748-c0_g1_i1	carb	0.0000	0.0200	0.0010
TR46403-c0_g1_i3	carb	0.0831	0.0839	0.9909
TR27443-c0_g4_i2	carb	0.0144	0.0231	0.6247
TR24935-c0_g2_i1	carb	0.0000	0.0183	0.0010
TR23614-c0_g1_i2	carb	0.0048	0.0378	0.1259
TR42330-c0_g2_i1	carb	0.0193	0.0490	0.3938
TR51253-c1_g1_i2	carb	0.0022	0.0323	0.0674
TR9287-c0_g1_i1	carb	0.0705	0.3154	0.2235
TR11787-c0_g1_i3	carb	0.0030	0.0000	99.0000
TR7671-c0_g1_i1	carb	0.0000	0.0000	0.4019
TR24153-c0_g2_i1	carb	0.0000	0.0089	0.0010
TR33850-c1_g2_i1	carb	0.0000	0.0145	0.0010
TR15449-c0_g1_i1	carb	0.0032	0.0096	0.3342
TR19790-c0_g1_i1	carb	0.0108	0.0188	0.5743
TR30775-c0_g1_i1	carb	0.0000	0.0369	0.0010
TR878-c0_g1_i1	carb	0.0150	0.0906	0.1657
TR44868-c0_g1_i1	carb	0.0000	0.0422	0.0010
TR37856-c0_g2_i1	carb	0.0057	0.0364	0.1566
TR46824-c0_g1_i1	carb	0.1711	0.3546	0.4825
TR14731-c2_g3_i3	carb	0.0121	0.0766	0.1576
TR36226-c0_g1_i1	carb	0.0732	73.1646	0.0010
TR11903-c1_g1_i1	carb	0.0217	0.0763	0.2846
TR11286-c1_g1_i1	carb	0.0000	0.0195	0.0010
TR44754-c0_g2_i1	carb	0.0043	0.0413	0.1033
TR8137-c0_g2_i1	carb	0.0000	0.0368	0.0010
TR6528-c0_g1_i1	carb	0.0000	0.0319	0.0010
TR5607-c0_g1_i1	carb	0.0061	0.0847	0.0722
TR836-c1_g2_i1	carb	0.0000	0.0000	0.4020
TR6985-c0_g1_i1	carb	0.0000	0.0000	99.0000
TR31423-c0_g2_i1	carb	0.0072	0.0114	0.6264
TR9100-c7_g1_i1	carb	0.0061	0.0217	0.2827
TR34885-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR41659-c0_g3_i1	carb	0.0000	0.0356	0.0010
TR20811-c0_g1_i1	carb	0.0116	0.0001	99.0000
TR30434-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR40671-c1_g3_i1	carb	0.0069	0.0367	0.1887
TR11805-c0_g4_i1	carb	0.0168	0.0422	0.3982
TR11805-c0_g8_i3	carb	0.0106	0.0402	0.2637
TR11805-c0_g9_i3	carb	0.0041	0.0084	0.4930
TR27442-c0_g1_i1	carb	0.0000	0.0377	0.0010
TR43032-c1_g3_i1	carb	0.0000	0.0194	0.0010
TR6304-c0_g4_i1	carb	0.0281	0.0679	0.4148
TR28371-c0_g1_i1	carb	0.0000	0.0061	0.0010
TR48089-c1_g1_i1	carb	0.0064	0.0974	0.0654
TR17755-c1_g1_i1	carb	0.0089	0.0705	0.1265
TR9722-c0_g1_i1	carb	0.0000	0.0201	0.0010
TR38422-c0_g1_i1	carb	0.0050	0.0001	99.0000
TR7726-c0_g2_i1	carb	0.0023	0.0188	0.1210
TR27605-c0_g1_i1	carb	0.0024	0.0304	0.0780
TR32919-c0_g2_i1	carb	0.0001	0.0631	0.0010
TR14637-c0_g3_i3	carb	0.0000	0.0000	0.0010
TR14637-c0_g4_i1	carb	0.0000	0.0232	0.0010
TR26997-c0_g1_i1	carb	0.0000	0.0223	0.0010
TR2389-c0_g1_i2	carb	0.0000	0.0000	0.0010
TR21558-c0_g1_i8	carb	0.0000	0.0000	0.4019
TR21558-c0_g5_i1	carb	0.0000	0.0190	0.0010
TR42458-c0_g1_i1	carb	0.0000	0.0105	0.0010
TR27881-c0_g4_i2	carb	0.0188	0.0170	1.1024
TR47818-c0_g1_i1	carb	0.0000	0.0000	0.4022
TR43695-c0_g1_i1	carb	0.0000	0.0210	0.0010
TR44938-c0_g5_i1	carb	0.0839	0.1559	0.5384
TR6576-c0_g1_i1	carb	0.0000	0.0181	0.0010
TR50651-c0_g1_i1	carb	0.0000	0.0000	0.4024
TR9167-c0_g1_i2	carb	0.0000	0.0000	0.3248
TR18910-c0_g1_i1	carb	0.0098	0.0001	99.0000
TR15558-c0_g1_i1	carb	0.0129	0.0095	1.3544
TR10505-c0_g1_i1	carb	0.0000	0.0497	0.0010
TR44749-c0_g2_i1	carb	0.0000	0.0122	0.0010
TR44749-c0_g1_i1	carb	0.0000	0.0000	0.4020
TR3601-c0_g3_i2	carb	0.1336	0.2350	0.5685
TR3486-c0_g1_i1	carb	0.0068	0.0413	0.1646
TR23548-c0_g1_i3	carb	0.0000	0.0214	0.0010
TR23548-c1_g2_i1	carb	0.0000	0.0142	0.0010
TR23548-c1_g6_i1	carb	0.0000	0.0389	0.0010
TR47111-c0_g5_i2	carb	0.0054	0.0083	0.6539
TR42357-c0_g1_i1	carb	0.0044	0.0000	99.0000
TR22331-c1_g2_i1	carb	0.0000	0.0375	0.0010
TR43905-c0_g1_i1	carb	0.0044	0.0146	0.3039
TR4011-c0_g2_i1	carb	0.0000	0.0000	0.3937
TR30093-c0_g1_i1	carb	0.0000	0.0116	0.0010
TR44544-c0_g1_i2	carb	0.0084	0.0126	0.6679
TR11581-c0_g1_i1	carb	0.0001	0.1364	0.0010
TR26178-c0_g1_i1	carb	0.0000	0.0238	0.0010
TR16803-c0_g1_i1	carb	0.0613	0.0218	2.8077
TR34637-c0_g2_i1	carb	0.0409	0.0665	0.6158
TR45484-c2_g1_i1	carb	0.0000	0.0125	0.0010
TR37131-c0_g8_i1	carb	0.0000	0.0000	0.3402
TR41694-c0_g1_i1	carb	0.0000	0.0000	0.3015
TR43736-c0_g1_i1	carb	0.0029	0.0185	0.1578
TR49126-c0_g1_i1	carb	0.0000	0.0000	0.3966
TR33478-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR8516-c0_g1_i1	carb	0.0000	0.0138	0.0010
TR16309-c0_g2_i1	carb	0.0056	0.0194	0.2902
TR11697-c0_g1_i1	carb	0.0023	0.0154	0.1479
TR29203-c0_g7_i1	carb	0.0080	0.0064	1.2586
TR23122-c0_g1_i1	carb	0.0061	0.0876	0.0696
TR44970-c1_g4_i4	carb	0.0000	0.0176	0.0010
TR44970-c0_g3_i1	carb	0.0000	0.0286	0.0010
TR21567-c0_g8_i1	carb	0.0025	0.0271	0.0926
TR43610-c0_g1_i1	carb	0.0000	0.0269	0.0010
TR38127-c0_g1_i1	carb	0.0000	0.0000	0.4317
TR21672-c0_g3_i1	carb	0.0000	0.0115	0.0010
TR21672-c0_g1_i2	carb	0.0001	0.0534	0.0010
TR28783-c0_g4_i1	carb	0.0065	0.0001	99.0000
TR28783-c0_g10_i1	carb	0.0000	0.0000	0.4027
TR39467-c0_g1_i1	carb	0.0001	0.0576	0.0010
TR48410-c0_g5_i2	carb	0.0038	0.0306	0.1252
TR48410-c0_g8_i1	carb	0.0001	0.0855	0.0010
TR7743-c0_g1_i1	carb	0.0058	0.0345	0.1670
TR19890-c0_g1_i1	carb	0.0000	0.0000	0.4018
TR47059-c0_g1_i1	carb	0.0000	0.0267	0.0010
TR9812-c0_g3_i5	carb	0.0019	0.0432	0.0444
TR20266-c0_g1_i1	carb	0.0101	0.0408	0.2463
TR44288-c0_g7_i1	carb	0.0000	0.0164	0.0010
TR44288-c0_g4_i2	carb	0.0000	0.0000	0.0010
TR24344-c1_g2_i1	carb	0.0052	0.0750	0.0688
TR5040-c5_g3_i2	carb	0.0115	0.0121	0.9534
TR26721-c0_g4_i4	carb	0.0000	0.0204	0.0010
TR43880-c0_g1_i1	carb	0.0000	0.0000	99.0000
TR32866-c0_g3_i2	carb	0.0054	0.0638	0.0852
TR16737-c0_g4_i1	carb	0.0074	0.0001	99.0000
TR16737-c0_g3_i1	carb	0.0058	0.0104	0.5584
TR35405-c1_g1_i1	carb	0.0029	0.0268	0.1090
TR48739-c0_g2_i1	carb	0.0000	0.0000	0.4019
TR31638-c0_g1_i1	carb	0.0080	0.0001	99.0000
TR24529-c0_g1_i1	carb	0.0237	0.1277	0.1851
TR13971-c0_g1_i1	carb	0.0000	0.0083	0.0010
TR19191-c0_g1_i1	carb	0.0001	0.0648	0.0010
TR41870-c0_g2_i1	carb	0.0080	0.0097	0.8184
TR14782-c0_g2_i1	carb	0.0000	0.0394	0.0010
TR5334-c0_g1_i1	carb	0.0193	0.0875	0.2203
TR23166-c0_g1_i1	carb	0.0162	0.0891	0.1823
TR1974-c0_g1_i1	carb	0.0081	0.0001	99.0000
TR15441-c0_g7_i1	carb	0.0000	0.0043	0.0010
TR6234-c0_g1_i1	carb	0.0000	0.0184	0.0010
TR32327-c0_g1_i1	carb	0.0000	0.0062	0.0010
TR25309-c3_g1_i1	carb	0.0000	0.0226	0.0010
TR5995-c1_g1_i1	carb	0.0024	0.0505	0.0479
TR42931-c1_g7_i1	carb	0.0001	0.0987	0.0010
TR42931-c1_g2_i1	carb	0.0000	0.0000	0.4016
TR42931-c1_g6_i1	carb	0.0000	0.0327	0.0010
TR9835-c0_g2_i4	carb	0.0000	0.0246	0.0010
TR44424-c0_g2_i1	carb	0.0000	0.0167	0.0010
TR39657-c0_g1_i1	carb	0.0043	0.0250	0.1730
TR8371-c0_g3_i1	carb	0.0024	0.0124	0.1964
TR29574-c0_g1_i3	carb	0.0001	0.0531	0.0010
TR25658-c0_g1_i2	carb	0.0000	0.0211	0.0010
TR30664-c2_g1_i2	carb	0.0086	0.0220	0.3922
TR22872-c0_g1_i1	carb	0.0000	0.0134	0.0010
TR31297-c0_g1_i1	carb	0.0133	0.0457	0.2907
TR47336-c3_g1_i4	carb	0.0000	0.0000	0.0010
TR24983-c0_g1_i1	carb	0.0000	0.0145	0.0010
TR1638-c0_g2_i1	carb	0.0016	0.0269	0.0578
TR37092-c0_g1_i1	carb	0.0042	0.0308	0.1367
TR38597-c0_g1_i1	carb	0.0059	0.0156	0.3755
TR3899-c0_g1_i1	carb	0.0000	0.0463	0.0010
TR3172-c0_g4_i2	carb	0.0189	0.0349	0.5403
TR42424-c0_g3_i1	carb	0.0033	0.0120	0.2770
TR24911-c0_g1_i1	carb	0.0081	0.0454	0.1773
TR29247-c1_g6_i2	carb	0.0022	0.0048	0.4465
TR29247-c1_g1_i1	carb	0.0025	0.0204	0.1223
TR48395-c0_g1_i1	carb	0.0001	0.0958	0.0010
TR11846-c0_g3_i2	carb	0.0112	0.1056	0.1063
TR17841-c1_g3_i2	carb	0.0000	0.0245	0.0010
TR41399-c0_g1_i1	carb	0.0001	0.0580	0.0010
TR26559-c0_g3_i2	carb	0.0000	0.0000	0.4011
TR13919-c0_g2_i1	carb	0.0000	0.0163	0.0010
TR2283-c1_g3_i1	carb	0.0000	0.0385	0.0010
TR18276-c1_g4_i1	carb	0.0000	0.0256	0.0010
TR30941-c1_g9_i1	carb	0.0000	0.0000	0.4019
TR17975-c0_g2_i1	carb	0.0000	0.0143	0.0010
TR7292-c1_g3_i1	carb	0.0000	0.0069	0.0010
TR21063-c0_g9_i1	carb	0.0069	0.0237	0.2916
TR44725-c0_g4_i10	carb	0.0127	0.0784	0.1622
TR29355-c0_g1_i2	carb	0.0048	0.0000	99.0000
TR22149-c0_g1_i1	carb	0.0000	0.0496	0.0010
TR43873-c0_g1_i1	carb	0.0000	0.0190	0.0010
TR15602-c4_g1_i1	carb	0.0000	0.0360	0.0010
TR45047-c0_g2_i1	carb	0.0042	0.0381	0.1107
TR45047-c2_g1_i1	carb	0.0000	0.0000	1.6306
TR30395-c1_g1_i2	carb	0.0037	0.0153	0.2456
TR11423-c0_g1_i1	carb	0.0087	0.0289	0.3022
TR34948-c0_g1_i1	carb	0.0071	0.0001	99.0000
TR43362-c0_g1_i1	carb	0.0212	0.0148	1.4350
TR43614-c0_g1_i1	carb	0.0000	0.0000	99.0000
TR44543-c0_g4_i2	carb	0.0000	0.0060	0.0010
TR36726-c0_g2_i1	carb	0.0000	0.0303	0.0010
TR46346-c0_g1_i1	carb	0.0000	0.0257	0.0010
TR14119-c0_g1_i1	carb	0.0049	0.0654	0.0744
TR7319-c3_g1_i1	carb	0.0019	0.0314	0.0611
TR36214-c1_g3_i1	carb	0.0000	0.0000	0.4019
TR17548-c0_g1_i1	carb	0.0422	0.0837	0.5036
TR38521-c0_g3_i3	carb	0.0000	0.0109	0.0010
TR33080-c0_g1_i2	carb	0.0040	0.0225	0.1764
TR18404-c0_g1_i1	carb	0.0000	0.0000	0.4019
TR49056-c0_g2_i1	carb	0.0145	0.0001	99.0000
TR9041-c0_g2_i2	carb	0.0000	0.0102	0.0010
TR5814-c0_g1_i1	carb	0.0001	0.0714	0.0010
TR48599-c0_g3_i1	carb	0.0000	0.0000	0.4020
TR49966-c0_g1_i1	carb	0.0000	0.0204	0.0010
TR16751-c0_g1_i1	carb	0.0000	0.0130	0.0010
TR27217-c0_g1_i1	carb	0.0028	0.0144	0.1966
TR11984-c0_g1_i2	carb	0.0000	0.0225	0.0010
TR28520-c0_g1_i1	carb	0.1250	54.1615	0.0023
TR17118-c0_g12_i1	carb	0.0001	0.0733	0.0010
TR17118-c0_g4_i2	carb	0.0000	0.0244	0.0010
TR17118-c0_g5_i1	carb	0.0000	0.0288	0.0010
TR17497-c0_g3_i1	carb	0.0001	0.0840	0.0010
TR34857-c0_g1_i1	carb	0.0065	0.0277	0.2354
TR21838-c0_g1_i1	carb	0.0000	0.0000	0.0010
TR41575-c0_g2_i1	carb	0.0000	0.0000	0.0010
TR38403-c0_g1_i1	carb	0.0000	0.0121	0.0010
TR45670-c1_g1_i1	carb	0.0252	0.1199	0.2101
TR13698-c0_g1_i1	carb	0.0503	0.0921	0.5462
TR41903-c0_g10_i1	carb	0.0257	0.0335	0.7664
TR18734-c0_g1_i1	carb	0.0568	5.2800	0.0108
TR11087-c0_g1_i1	carb	0.0001	0.0839	0.0010
TR46121-c1_g5_i1	carb	0.0000	0.0000	0.0010
TR46121-c0_g1_i1	carb	0.0280	0.0494	0.5673
TR46121-c1_g3_i1	carb	0.0000	0.0221	0.0010
TR30022-c5_g4_i1	carb	0.0000	0.0303	0.0010
TR22275-c0_g1_i1	carb	0.0000	0.0000	0.3900
TR18745-c0_g1_i2	carb	0.0067	0.0001	99.0000
TR4599-c0_g2_i1	carb	0.0000	0.0000	13.4129
TR1088-c0_g1_i1	carb	0.0016	0.0197	0.0792
TR29979-c0_g1_i1	carb	0.0000	0.0000	0.4019
TR20073-c0_g2_i1	carb	0.0075	0.0430	0.1753
TR20827-c0_g12_i1	carb	0.0075	0.0001	99.0000
TR12901-c0_g1_i1	carb	0.0281	0.0003	99.0000
TR10316-c0_g1_i1	carb	0.0000	0.0229	0.0010
TR35086-c1_g1_i1	carb	0.0020	0.0241	0.0829
TR33036-c0_g4_i2	carb	0.0000	0.0184	0.0010
TR29763-c1_g2_i1	carb	0.0284	0.0321	0.8853
TR31023-c0_g1_i1	carb	0.0000	0.0085	0.0010
TR8000-c0_g3_i1	carb	0.0000	0.0139	0.0010
TR20505-c4_g5_i1	carb	0.0451	0.1169	0.3855
TR3619-c0_g1_i1	carb	0.0001	0.0658	0.0010
TR38646-c0_g1_i1	carb	0.0000	0.0139	0.0010
TR40971-c0_g4_i1	carb	0.0000	0.0086	0.0010
TR31064-c0_g1_i1	carb	0.0015	0.0195	0.0789
TR11717-c0_g6_i1	carb	0.0000	0.0000	1.0507
TR11530-c0_g2_i1	carb	0.0526	1.3651	0.0386
TR14899-c1_g3_i7	carb	0.1273	0.1498	0.8504
TR48056-c0_g2_i1	carb	0.0050	0.0374	0.1340
TR23855-c0_g2_i2	carb	0.0069	0.0207	0.3336
TR8530-c0_g1_i1	carb	0.0000	0.0249	0.0010
TR18258-c0_g1_i2	carb	0.0000	0.0099	0.0010
TR41931-c0_g2_i1	carb	0.0000	0.0000	0.0010
TR23137-c1_g1_i1	carb	0.0076	0.0214	0.3535
TR24141-c1_g1_i1	carb	0.0062	0.0163	0.3789
TR1184-c0_g2_i1	carb	0.0020	0.0687	0.0291
TR10694-c1_g3_i1	carb	0.0000	0.0221	0.0010
TR7964-c0_g1_i2	carb	0.0727	0.0869	0.8368
TR49355-c0_g1_i2	carb	0.0000	0.0000	99.0000
TR51212-c0_g1_i1	carb	0.0075	0.0377	0.2003
TR13403-c1_g1_i1	carb	0.0202	0.0140	1.4471
TR44128-c0_g9_i1	carb	0.0000	0.0223	0.0010
TR1993-c4_g1_i3	carb	0.0386	0.0636	0.6070
TR19280-c1_g1_i1	carb	0.0086	0.0172	0.4988
TR36764-c0_g1_i1	carb	0.0001	0.0592	0.0010
TR1099-c0_g3_i1	carb	0.0000	0.0000	0.4019
TR1099-c0_g1_i1	carb	0.0000	0.0208	0.0010
TR17920-c0_g2_i1	carb	0.0000	0.0000	99.0000
TR33774-c0_g1_i1	carb	0.0000	0.0281	0.0010
TR28370-c5_g1_i2	carb	0.0224	0.0515	0.4352
TR14024-c0_g1_i3	carb	0.0031	0.0379	0.0810
TR49728-c1_g2_i4	carb	0.0000	0.0289	0.0010
TR5649-c0_g9_i1	carb	0.0154	0.0313	0.4919
TR11437-c0_g1_i1	carb	0.0000	0.0000	0.4022
TR1378-c0_g1_i1	carb	0.0086	0.0172	0.5008
TR29510-c0_g2_i1	carb	0.0000	0.0345	0.0010
TR17252-c0_g2_i1	carb	0.0052	0.0242	0.2148
TR10993-c0_g2_i2	carb	0.0038	0.0051	0.7409
TR30527-c2_g1_i1	carb	0.0027	0.0178	0.1520
TR30599-c0_g5_i1	carb	0.0000	0.0162	0.0010
TR1951-c0_g1_i1	carb	0.0000	0.0443	0.0010
TR4368-c0_g1_i3	carb	0.0000	0.0000	0.1532
TR21094-c0_g3_i1	carb	0.0000	0.0095	0.0010
TR28403-c1_g11_i2	carb	0.0189	0.0002	99.0000
TR28403-c0_g1_i1	carb	0.0284	0.1815	0.1563
TR47756-c1_g3_i2	carb	0.0000	0.0000	0.0010
TR47756-c1_g1_i1	carb	0.0000	0.0000	0.0010
TR13560-c0_g1_i1	carb	0.0093	0.0139	0.6729
TR7101-c0_g1_i1	carb	0.0000	0.0000	0.4020
TR10157-c0_g2_i1	carb	0.0000	0.0000	0.0010
TR11172-c0_g1_i1	carb	0.0936	0.4909	0.1907
TR47174-c0_g1_i1	carb	0.0000	0.0000	0.4020
TR43388-c0_g1_i1	carb	0.0000	0.0183	0.0010
TR10934-c0_g4_i1	carb	0.0076	0.0174	0.4394
TR2771-c0_g1_i1	carb	0.0001	0.0547	0.0010
TR32661-c0_g1_i1	carb	0.0000	0.0229	0.0010
TR27986-c0_g3_i1	carb	0.0000	0.0000	99.0000
TR8736-c0_g1_i1	carb	0.0133	0.0413	0.3220
TR33737-c0_g1_i3	carb	0.0034	0.0178	0.1917
TR40035-c1_g2_i1	carb	0.0000	0.0213	0.0010
TR32270-c0_g7_i1	carb	0.0070	0.1793	0.0388
TR33496-c0_g3_i1	carb	0.0001	0.0663	0.0010
TR37045-c3_g1_i1	carb	0.0029	0.0451	0.0638
TR36094-c0_g1_i1	carb	0.0051	0.0464	0.1110
TR26061-c0_g1_i1	carb	0.0103	0.0001	99.0000
TR39437-c1_g1_i1	carb	0.0326	0.0402	0.8097
TR42476-c0_g3_i2	carb	0.0000	0.0443	0.0010
TR21638-c0_g3_i1	carb	0.0001	0.0725	0.0010
TR15037-c0_g1_i2	carb	0.0000	0.0000	0.0010
TR45498-c0_g1_i1	carb	0.0000	0.0230	0.0010
TR2039-c1_g2_i3	carb	0.0027	0.0166	0.1600
TR49720-c0_g2_i2	carb	0.0000	0.0423	0.0010
TR48680-c0_g1_i1	carb	0.0190	0.0002	99.0000
TR444-c0_g1_i1	carb	0.0113	0.0191	0.5937
TR22915-c0_g1_i1	carb	0.0000	0.0238	0.0010
TR11441-c0_g3_i1	carb	0.0000	0.0119	0.0010
TR18737-c0_g1_i1	carb	0.0001	0.1020	0.0010
